newusers,eventcount,totalusers,conversions,totalrevenue,screenpageviews,userengagementduration,date
402,2761,402,0,0,921,32468,30/06/23
422,2812,442,0,0,943,33234,01/07/23
456,3058,472,0,0,1041,33080,02/07/23
569,4053,593,0,0,1385,41486,03/07/23
590,5028,628,0,0,1830,61899,04/07/23
565,4147,609,0,0,1382,42512,05/07/23
541,4405,599,0,0,1500,48139,06/07/23
475,3836,538,0,0,1334,41657,07/07/23
465,3181,499,0,0,1060,36644,08/07/23
455,3539,508,0,0,1267,37780,09/07/23
602,5359,670,0,0,1930,57468,10/07/23
529,4817,599,0,0,1734,53708,11/07/23
532,4262,601,0,0,1443,46640,12/07/23
528,4433,588,0,0,1533,43465,13/07/23
515,3845,576,0,0,1306,37561,14/07/23
500,4226,561,0,0,1496,48949,15/07/23
457,3765,507,0,0,1312,43378,16/07/23
582,5311,674,0,0,1857,52643,17/07/23
504,4658,587,0,0,1650,45859,18/07/23
501,4283,578,0,0,1494,40195,19/07/23
470,4656,541,0,0,1653,39902,20/07/23
448,3470,523,0,0,1179,33890,21/07/23
420,3458,480,0,0,1189,36688,22/07/23
451,3691,498,0,0,1310,38415,23/07/23
517,4756,588,0,0,1696,49764,24/07/23
490,5336,569,0,0,1651,50789,25/07/23
489,4162,561,0,0,1456,46103,26/07/23
480,3549,556,0,0,1158,39337,27/07/23
419,3907,490,0,0,1396,43006,28/07/23
485,4640,555,0,0,1646,54103,29/07/23
425,3490,475,0,0,1193,38457,30/07/23
544,4929,620,0,0,1733,57030,31/07/23
515,4391,588,0,0,1529,41144,01/08/23
497,4021,560,0,0,1431,42246,02/08/23
478,3952,542,0,0,1384,42263,03/08/23
475,3851,537,0,0,1305,39500,04/08/23
409,2953,448,0,0,1013,36961,05/08/23
369,2569,407,0,0,888,27767,06/08/23
472,4342,536,0,0,1602,45936,07/08/23
487,5281,570,0,0,1878,64254,08/08/23
435,3583,509,0,0,1201,34854,09/08/23
462,4675,539,0,0,1662,50772,10/08/23
416,3492,486,0,0,1188,38897,11/08/23
403,3153,456,0,0,1057,36343,12/08/23
405,3147,455,0,0,1068,32623,13/08/23
503,4379,594,0,0,1526,41812,14/08/23
514,4100,579,0,0,1353,36825,15/08/23
433,3360,485,0,0,1098,36784,16/08/23
419,3092,468,0,0,1041,32714,17/08/23
475,3865,536,0,0,1341,38084,18/08/23
398,2780,442,0,0,917,31867,19/08/23
388,3335,428,0,0,1208,38208,20/08/23
490,3799,555,0,0,1306,40580,21/08/23
429,3474,499,0,0,1197,33925,22/08/23
424,3673,500,0,0,1278,37810,23/08/23
475,3873,527,0,0,1346,39773,24/08/23
471,3855,555,0,0,1299,42366,25/08/23
448,3320,501,0,0,1153,38247,26/08/23
415,2821,456,0,0,953,36133,27/08/23
573,4465,637,0,0,1492,46015,28/08/23
467,3921,540,0,0,1352,42063,29/08/23
454,3397,515,0,0,1136,41562,30/08/23
448,2894,508,0,0,923,30166,31/08/23
423,3184,474,0,0,1096,36306,01/09/23
408,2977,452,0,0,1009,36142,02/09/23
377,2404,401,0,0,786,30316,03/09/23
503,4029,546,0,0,1415,44228,04/09/23
537,4613,607,0,0,1643,46646,05/09/23
503,3863,572,0,0,1307,41128,06/09/23
505,4140,579,0,0,1434,50547,07/09/23
424,3374,489,0,0,1171,39364,08/09/23
497,3618,545,0,0,1226,37411,09/09/23
444,3254,488,0,0,1121,39789,10/09/23
544,5016,613,0,0,1762,56329,11/09/23
509,3851,574,0,0,1246,38436,12/09/23
496,4218,557,0,0,1477,48098,13/09/23
477,3633,530,0,0,1206,41588,14/09/23
435,3023,497,0,0,1007,33117,15/09/23
411,3194,458,0,0,1062,38441,16/09/23
432,3096,474,0,0,1036,34562,17/09/23
540,4644,615,0,0,1584,53195,18/09/23
526,4461,591,0,0,1508,45601,19/09/23
479,4350,550,0,0,1526,52057,20/09/23
472,4320,539,0,0,1502,50386,21/09/23
465,3641,530,0,0,1260,42466,22/09/23
472,3634,516,0,0,1216,38428,23/09/23
481,3793,526,0,0,1305,43079,24/09/23
613,5081,691,0,0,1772,60599,25/09/23
530,3958,613,0,0,1302,41460,26/09/23
484,3834,542,0,0,1285,41461,27/09/23
482,3837,537,0,0,1304,41330,28/09/23
480,3926,537,0,0,1331,43103,29/09/23
467,3539,520,0,0,1156,35925,30/09/23
448,3214,502,0,0,1077,39193,01/10/23
609,4409,680,0,0,1469,48182,02/10/23
511,4118,582,0,0,1364,48428,03/10/23
493,3603,570,0,0,1196,46938,04/10/23
492,4295,553,0,0,1513,45685,05/10/23
480,3596,545,0,0,1217,38802,06/10/23
492,2971,531,0,0,954,38305,07/10/23
498,2936,529,0,0,960,32724,08/10/23
584,4038,623,0,0,1352,42606,09/10/23
603,4260,681,0,0,1348,45482,10/10/23
626,4411,703,0,0,1473,49425,11/10/23
560,3818,620,0,0,1226,42814,12/10/23
568,3765,617,0,0,1226,45176,13/10/23
576,3681,626,0,0,1235,34855,14/10/23
550,3972,597,0,0,1353,48842,15/10/23
666,5428,749,0,0,1830,58455,16/10/23
607,4464,690,0,0,1472,53134,17/10/23
587,4384,658,0,0,1450,50058,18/10/23
581,4299,644,0,0,1415,47638,19/10/23
593,4371,666,0,0,1473,51733,20/10/23
558,3594,605,0,0,1166,44024,21/10/23
565,3919,607,0,0,1295,43223,22/10/23
682,5151,740,0,0,1660,60483,23/10/23
626,4551,701,0,0,1490,48010,24/10/23
639,4648,693,0,0,1529,47022,25/10/23
576,4239,649,0,0,1435,42725,26/10/23
578,4338,664,0,0,1459,54731,27/10/23
547,3946,600,0,0,1325,46547,28/10/23
580,4100,621,0,0,1378,50982,29/10/23
714,6390,797,0,0,2240,66116,30/10/23
629,4750,701,0,0,1576,51827,31/10/23
