eventname,totalusers,conversions,totalrevenue,date
click,18,0,0,30/06/23
file_download,1,0,0,30/06/23
first_visit,402,0,0,30/06/23
form_start,19,0,0,30/06/23
form_submit,16,0,0,30/06/23
page_view,402,0,0,30/06/23
scroll,105,0,0,30/06/23
session_start,402,0,0,30/06/23
user_engagement,283,0,0,30/06/23
view_search_results,17,0,0,30/06/23
click,14,0,0,01/07/23
first_visit,422,0,0,01/07/23
form_start,13,0,0,01/07/23
form_submit,12,0,0,01/07/23
page_view,439,0,0,01/07/23
scroll,103,0,0,01/07/23
session_start,441,0,0,01/07/23
user_engagement,306,0,0,01/07/23
view_search_results,17,0,0,01/07/23
click,17,0,0,02/07/23
file_download,4,0,0,02/07/23
first_visit,456,0,0,02/07/23
form_start,11,0,0,02/07/23
form_submit,9,0,0,02/07/23
page_view,469,0,0,02/07/23
scroll,117,0,0,02/07/23
session_start,471,0,0,02/07/23
user_engagement,344,0,0,02/07/23
view_search_results,10,0,0,02/07/23
click,27,0,0,03/07/23
file_download,3,0,0,03/07/23
first_visit,569,0,0,03/07/23
form_start,26,0,0,03/07/23
form_submit,21,0,0,03/07/23
page_view,585,0,0,03/07/23
scroll,135,0,0,03/07/23
session_start,593,0,0,03/07/23
user_engagement,429,0,0,03/07/23
view_search_results,21,0,0,03/07/23
click,32,0,0,04/07/23
file_download,5,0,0,04/07/23
first_visit,590,0,0,04/07/23
form_start,25,0,0,04/07/23
form_submit,23,0,0,04/07/23
page_view,624,0,0,04/07/23
scroll,167,0,0,04/07/23
session_start,627,0,0,04/07/23
user_engagement,446,0,0,04/07/23
view_search_results,24,0,0,04/07/23
click,37,0,0,05/07/23
file_download,5,0,0,05/07/23
first_visit,565,0,0,05/07/23
form_start,30,0,0,05/07/23
form_submit,26,0,0,05/07/23
page_view,602,0,0,05/07/23
scroll,153,0,0,05/07/23
session_start,606,0,0,05/07/23
user_engagement,453,0,0,05/07/23
view_search_results,28,0,0,05/07/23
click,43,0,0,06/07/23
file_download,8,0,0,06/07/23
first_visit,541,0,0,06/07/23
form_start,33,0,0,06/07/23
form_submit,32,0,0,06/07/23
page_view,591,0,0,06/07/23
scroll,166,0,0,06/07/23
session_start,597,0,0,06/07/23
user_engagement,432,0,0,06/07/23
view_search_results,31,0,0,06/07/23
click,28,0,0,07/07/23
file_download,8,0,0,07/07/23
first_visit,475,0,0,07/07/23
form_start,23,0,0,07/07/23
form_submit,18,0,0,07/07/23
page_view,529,0,0,07/07/23
scroll,145,0,0,07/07/23
session_start,538,0,0,07/07/23
user_engagement,377,0,0,07/07/23
view_search_results,20,0,0,07/07/23
click,24,0,0,08/07/23
file_download,2,0,0,08/07/23
first_visit,465,0,0,08/07/23
form_start,15,0,0,08/07/23
form_submit,11,0,0,08/07/23
page_view,490,0,0,08/07/23
scroll,129,0,0,08/07/23
session_start,499,0,0,08/07/23
user_engagement,359,0,0,08/07/23
view_search_results,21,0,0,08/07/23
click,14,0,0,09/07/23
file_download,5,0,0,09/07/23
first_visit,455,0,0,09/07/23
form_start,11,0,0,09/07/23
form_submit,9,0,0,09/07/23
page_view,499,0,0,09/07/23
scroll,126,0,0,09/07/23
session_start,506,0,0,09/07/23
user_engagement,366,0,0,09/07/23
view_search_results,10,0,0,09/07/23
click,48,0,0,10/07/23
file_download,9,0,0,10/07/23
first_visit,602,0,0,10/07/23
form_start,33,0,0,10/07/23
form_submit,28,0,0,10/07/23
page_view,657,0,0,10/07/23
scroll,197,0,0,10/07/23
session_start,668,0,0,10/07/23
user_engagement,495,0,0,10/07/23
view_search_results,23,0,0,10/07/23
click,38,0,0,11/07/23
file_download,4,0,0,11/07/23
first_visit,529,0,0,11/07/23
form_start,33,0,0,11/07/23
form_submit,26,0,0,11/07/23
page_view,586,0,0,11/07/23
scroll,169,0,0,11/07/23
session_start,599,0,0,11/07/23
user_engagement,457,0,0,11/07/23
view_search_results,24,0,0,11/07/23
click,37,0,0,12/07/23
file_download,7,0,0,12/07/23
first_visit,532,0,0,12/07/23
form_start,35,0,0,12/07/23
form_submit,32,0,0,12/07/23
page_view,590,0,0,12/07/23
scroll,149,0,0,12/07/23
session_start,599,0,0,12/07/23
user_engagement,428,0,0,12/07/23
view_search_results,30,0,0,12/07/23
click,40,0,0,13/07/23
file_download,8,0,0,13/07/23
first_visit,528,0,0,13/07/23
form_start,30,0,0,13/07/23
form_submit,28,0,0,13/07/23
page_view,579,0,0,13/07/23
