newusers,totalusers,conversions,property_id,totalrevenue,engagementrate,useragebracket,engagedsessions,date
11,11,0,353783484,0,0.769230769,18-24,10,30/06/23
24,24,0,353783484,0,0.769230769,25-34,20,30/06/23
26,26,0,353783484,0,0.64516129,35-44,20,30/06/23
24,24,0,353783484,0,0.571428571,45-54,16,30/06/23
13,13,0,353783484,0,0.769230769,55-64,10,30/06/23
12,12,0,353783484,0,0.916666667,65+,11,30/06/23
292,292,0,353783484,0,0.625396825,unknown,197,30/06/23
21,22,0,353783484,0,0.416666667,18-24,10,01/07/23
16,17,0,353783484,0,0.55,25-34,11,01/07/23
16,17,0,353783484,0,0.315789474,35-44,6,01/07/23
22,22,0,353783484,0,0.545454545,45-54,12,01/07/23
14,15,0,353783484,0,0.75,55-64,12,01/07/23
324,340,0,353783484,0,0.644021739,unknown,237,01/07/23
14,15,0,353783484,0,0.6,18-24,9,02/07/23
26,27,0,353783484,0,0.714285714,25-34,20,02/07/23
28,29,0,353783484,0,0.6,35-44,18,02/07/23
27,27,0,353783484,0,0.517241379,45-54,15,02/07/23
15,15,0,353783484,0,0.8125,55-64,13,02/07/23
17,17,0,353783484,0,0.631578947,65+,12,02/07/23
329,342,0,353783484,0,0.657754011,unknown,246,02/07/23
16,16,0,353783484,0,0.823529412,18-24,14,03/07/23
40,42,0,353783484,0,0.557692308,25-34,29,03/07/23
42,43,0,353783484,0,0.574468085,35-44,27,03/07/23
34,35,0,353783484,0,0.527777778,45-54,19,03/07/23
23,23,0,353783484,0,0.695652174,55-64,16,03/07/23
13,14,0,353783484,0,0.733333333,65+,11,03/07/23
401,420,0,353783484,0,0.64208243,unknown,296,03/07/23
19,21,0,353783484,0,0.571428571,18-24,12,04/07/23
36,43,0,353783484,0,0.647058824,25-34,33,04/07/23
41,44,0,353783484,0,0.604166667,35-44,29,04/07/23
39,41,0,353783484,0,0.636363636,45-54,28,04/07/23
23,25,0,353783484,0,0.692307692,55-64,18,04/07/23
11,11,0,353783484,0,0.5,65+,7,04/07/23
421,443,0,353783484,0,0.611881188,unknown,309,04/07/23
20,20,0,353783484,0,0.52173913,18-24,12,05/07/23
45,53,0,353783484,0,0.610169492,25-34,36,05/07/23
42,48,0,353783484,0,0.542372881,35-44,32,05/07/23
23,23,0,353783484,0,0.625,45-54,15,05/07/23
16,17,0,353783484,0,0.842105263,55-64,16,05/07/23
17,17,0,353783484,0,0.833333333,65+,15,05/07/23
402,431,0,353783484,0,0.635789474,unknown,302,05/07/23
20,22,0,353783484,0,0.791666667,18-24,19,06/07/23
40,47,0,353783484,0,0.732142857,25-34,41,06/07/23
39,40,0,353783484,0,0.577777778,35-44,26,06/07/23
27,29,0,353783484,0,0.666666667,45-54,22,06/07/23
19,23,0,353783484,0,0.636363636,55-64,21,06/07/23
15,17,0,353783484,0,0.55,65+,11,06/07/23
381,421,0,353783484,0,0.571125265,unknown,269,06/07/23
19,20,0,353783484,0,0.55,18-24,11,07/07/23
27,29,0,353783484,0,0.548387097,25-34,17,07/07/23
26,35,0,353783484,0,0.657894737,35-44,25,07/07/23
25,31,0,353783484,0,0.612903226,45-54,19,07/07/23
24,26,0,353783484,0,0.703703704,55-64,19,07/07/23
346,388,0,353783484,0,0.59478673,unknown,251,07/07/23
12,13,0,353783484,0,0.6,18-24,9,08/07/23
26,27,0,353783484,0,0.5,25-34,14,08/07/23
38,41,0,353783484,0,0.681818182,35-44,30,08/07/23
22,25,0,353783484,0,0.62962963,45-54,17,08/07/23
18,18,0,353783484,0,0.611111111,55-64,11,08/07/23
16,16,0,353783484,0,0.5,65+,8,08/07/23
333,359,0,353783484,0,0.675257732,unknown,262,08/07/23
27,32,0,353783484,0,0.5,25-34,17,09/07/23
34,35,0,353783484,0,0.552631579,35-44,21,09/07/23
21,24,0,353783484,0,0.76,45-54,19,09/07/23
15,15,0,353783484,0,0.6875,55-64,11,09/07/23
16,18,0,353783484,0,0.739130435,65+,17,09/07/23
335,376,0,353783484,0,0.665036675,unknown,272,09/07/23
23,25,0,353783484,0,0.666666667,18-24,18,10/07/23
51,57,0,353783484,0,0.65625,25-34,42,10/07/23
42,50,0,353783484,0,0.692307692,35-44,36,10/07/23
28,31,0,353783484,0,0.685714286,45-54,24,10/07/23
18,19,0,353783484,0,0.714285714,55-64,15,10/07/23
8,10,0,353783484,0,0.818181818,65+,9,10/07/23
432,478,0,353783484,0,0.622710623,unknown,340,10/07/23
21,22,0,353783484,0,0.708333333,18-24,17,11/07/23
35,43,0,353783484,0,0.72,25-34,36,11/07/23
23,26,0,353783484,0,0.807692308,35-44,21,11/07/23
24,25,0,353783484,0,0.428571429,45-54,12,11/07/23
32,34,0,353783484,0,0.720930233,55-64,31,11/07/23
20,24,0,353783484,0,0.620689655,65+,18,11/07/23
374,425,0,353783484,0,0.695378151,unknown,331,11/07/23
18,20,0,353783484,0,0.681818182,18-24,15,12/07/23
35,43,0,353783484,0,0.466666667,25-34,21,12/07/23
34,38,0,353783484,0,0.585365854,35-44,24,12/07/23
34,37,0,353783484,0,0.658536585,45-54,27,12/07/23
14,19,0,353783484,0,0.818181818,55-64,18,12/07/23
14,18,0,353783484,0,0.833333333,65+,15,12/07/23
383,426,0,353783484,0,0.597046414,unknown,283,12/07/23
15,16,0,353783484,0,0.666666667,18-24,12,13/07/23
34,42,0,353783484,0,0.549019608,25-34,28,13/07/23
32,36,0,353783484,0,0.473684211,35-44,18,13/07/23
27,30,0,353783484,0,0.78125,45-54,25,13/07/23
24,26,0,353783484,0,0.46875,55-64,15,13/07/23
9,11,0,353783484,0,0.666666667,65+,8,13/07/23
387,427,0,353783484,0,0.641949153,unknown,303,13/07/23
32,34,0,353783484,0,0.58974359,18-24,23,14/07/23
34,39,0,353783484,0,0.619047619,25-34,26,14/07/23
28,32,0,353783484,0,0.53125,35-44,17,14/07/23
27,32,0,353783484,0,0.648648649,45-54,24,14/07/23
18,19,0,353783484,0,0.739130435,55-64,17,14/07/23
11,13,0,353783484,0,0.785714286,65+,11,14/07/23
365,407,0,353783484,0,0.6,unknown,276,14/07/23
17,18,0,353783484,0,0.8,18-24,16,15/07/23
24,31,0,353783484,0,0.527777778,25-34,19,15/07/23
25,30,0,353783484,0,0.71875,35-44,23,15/07/23
27,29,0,353783484,0,0.575757576,45-54,19,15/07/23
21,25,0,353783484,0,0.785714286,55-64,22,15/07/23
8,10,0,353783484,0,0.7,65+,7,15/07/23
378,418,0,353783484,0,0.637969095,unknown,289,15/07/23
14,16,0,353783484,0,0.6875,18-24,11,16/07/23
16,22,0,353783484,0,0.75,25-34,21,16/07/23
24,25,0,353783484,0,0.68,35-44,17,16/07/23
18,23,0,353783484,0,0.615384615,45-54,16,16/07/23
20,21,0,353783484,0,0.538461538,55-64,14,16/07/23
13,18,0,353783484,0,0.80952381,65+,17,16/07/23
352,382,0,353783484,0,0.678657074,unknown,283,16/07/23
24,28,0,353783484,0,0.6,18-24,21,17/07/23
42,52,0,353783484,0,0.593220339,25-34,35,17/07/23
42,50,0,353783484,0,0.75,35-44,45,17/07/23
31,38,0,353783484,0,0.69047619,45-54,29,17/07/23
17,21,0,353783484,0,0.652173913,55-64,15,17/07/23
12,13,0,353783484,0,0.625,65+,10,17/07/23
414,472,0,353783484,0,0.611428571,unknown,321,17/07/23
15,21,0,353783484,0,0.590909091,18-24,13,18/07/23
30,41,0,353783484,0,0.666666667,25-34,32,18/07/23
27,33,0,353783484,0,0.657894737,35-44,25,18/07/23
27,31,0,353783484,0,0.696969697,45-54,23,18/07/23
18,23,0,353783484,0,0.576923077,55-64,15,18/07/23
12,14,0,353783484,0,0.714285714,65+,10,18/07/23
375,424,0,353783484,0,0.645021645,unknown,298,18/07/23
17,19,0,353783484,0,0.458333333,18-24,11,19/07/23
29,39,0,353783484,0,0.755555556,25-34,34,19/07/23
23,28,0,353783484,0,0.696969697,35-44,23,19/07/23
22,26,0,353783484,0,0.821428571,45-54,23,19/07/23
22,25,0,353783484,0,0.580645161,55-64,18,19/07/23
