language,newusers,totalusers,conversions,property_id,totalrevenue,engagementrate,engagedsessions,date
Bengali,1,1,0,353783484,0,0,0,30/06/23
Bulgarian,1,1,0,353783484,0,0,0,30/06/23
Chinese,1,1,0,353783484,0,1,1,30/06/23
English,389,389,0,353783484,0,0.658018868,279,30/06/23
French,3,3,0,353783484,0,0,0,30/06/23
Korean,1,1,0,353783484,0,0.5,1,30/06/23
Polish,1,1,0,353783484,0,1,1,30/06/23
Portuguese,1,1,0,353783484,0,0,0,30/06/23
Russian,1,1,0,353783484,0,1,1,30/06/23
Spanish,3,3,0,353783484,0,0.333333333,1,30/06/23
Chinese,2,2,0,353783484,0,1,2,01/07/23
English,404,424,0,353783484,0,0.612200436,281,01/07/23
French,6,6,0,353783484,0,0.666666667,4,01/07/23
German,1,1,0,353783484,0,1,1,01/07/23
Malayalam,1,1,0,353783484,0,0,0,01/07/23
Polish,1,1,0,353783484,0,1,1,01/07/23
Romanian,1,1,0,353783484,0,0,0,01/07/23
Russian,2,2,0,353783484,0,1,3,01/07/23
Spanish,4,4,0,353783484,0,0.5,2,01/07/23
Chinese,4,4,0,353783484,0,0.75,3,02/07/23
Dutch,1,1,0,353783484,0,0.333333333,1,02/07/23
English,442,458,0,353783484,0,0.650505051,322,02/07/23
French,3,3,0,353783484,0,0.666666667,2,02/07/23
Greek,2,2,0,353783484,0,0.5,1,02/07/23
Korean,1,1,0,353783484,0,1,1,02/07/23
Polish,1,1,0,353783484,0,1,1,02/07/23
Serbian,1,1,0,353783484,0,1,1,02/07/23
Slovak,1,1,0,353783484,0,1,1,02/07/23
Central Khmer,1,1,0,353783484,0,0,0,03/07/23
Chinese,6,7,0,353783484,0,0.555555556,5,03/07/23
English,548,571,0,353783484,0,0.637820513,398,03/07/23
French,8,8,0,353783484,0,0.875,7,03/07/23
German,2,2,0,353783484,0,0.333333333,1,03/07/23
Panjabi,1,1,0,353783484,0,0,0,03/07/23
Portuguese,1,1,0,353783484,0,0.333333333,1,03/07/23
Spanish,1,1,0,353783484,0,1,1,03/07/23
Swedish,1,1,0,353783484,0,0,0,03/07/23
Chinese,5,6,0,353783484,0,0.571428571,4,04/07/23
English,572,608,0,353783484,0,0.614825581,423,04/07/23
French,8,8,0,353783484,0,0.875,7,04/07/23
Italian,1,1,0,353783484,0,0,0,04/07/23
Portuguese,2,2,0,353783484,0,1,2,04/07/23
Russian,0,1,0,353783484,0,1,1,04/07/23
Spanish,1,1,0,353783484,0,0,0,04/07/23
Swedish,1,1,0,353783484,0,0,0,04/07/23
Bengali,1,1,0,353783484,0,0,0,05/07/23
Chinese,3,3,0,353783484,0,1,3,05/07/23
Dutch,2,2,0,353783484,0,1,2,05/07/23
English,539,580,0,353783484,0,0.635239567,411,05/07/23
French,7,8,0,353783484,0,0.75,6,05/07/23
Latvian,1,1,0,353783484,0,0,0,05/07/23
Malayalam,0,1,0,353783484,0,0,0,05/07/23
Portuguese,2,3,0,353783484,0,1,3,05/07/23
Romanian,1,1,0,353783484,0,1,1,05/07/23
Russian,2,2,0,353783484,0,1,2,05/07/23
Spanish,6,6,0,353783484,0,0.142857143,1,05/07/23
Turkish,1,1,0,353783484,0,0,0,05/07/23
Chinese,6,6,0,353783484,0,0.142857143,1,06/07/23
English,517,573,0,353783484,0,0.610091743,399,06/07/23
Finnish,1,1,0,353783484,0,0,0,06/07/23
French,9,9,0,353783484,0,0.454545455,5,06/07/23
Hebrew,1,1,0,353783484,0,1,1,06/07/23
Hungarian,1,1,0,353783484,0,1,1,06/07/23
Icelandic,1,1,0,353783484,0,0,0,06/07/23
Italian,1,1,0,353783484,0,0,0,06/07/23
Latvian,0,1,0,353783484,0,0,0,06/07/23
Polish,1,1,0,353783484,0,1,1,06/07/23
Romanian,0,1,0,353783484,0,0,0,06/07/23
Spanish,3,3,0,353783484,0,0.666666667,2,06/07/23
Chinese,2,2,0,353783484,0,1,2,07/07/23
Dutch,1,1,0,353783484,0,0,0,07/07/23
English,457,519,0,353783484,0,0.600358423,335,07/07/23
Estonian,1,1,0,353783484,0,0,0,07/07/23
Finnish,1,1,0,353783484,0,1,1,07/07/23
French,5,5,0,353783484,0,0.833333333,5,07/07/23
Hungarian,1,1,0,353783484,0,1,1,07/07/23
Italian,2,2,0,353783484,0,0.666666667,2,07/07/23
Korean,1,1,0,353783484,0,1,1,07/07/23
Malayalam,0,1,0,353783484,0,0,0,07/07/23
Russian,1,1,0,353783484,0,0,0,07/07/23
Spanish,3,3,0,353783484,0,0.333333333,1,07/07/23
Arabic,1,1,0,353783484,0,0,0,08/07/23
Chinese,2,2,0,353783484,0,0.5,1,08/07/23
Croatian,1,1,0,353783484,0,0,0,08/07/23
English,451,484,0,353783484,0,0.658959538,342,08/07/23
French,5,5,0,353783484,0,0.833333333,5,08/07/23
Russian,0,1,0,353783484,0,0,0,08/07/23
Spanish,2,2,0,353783484,0,0.5,1,08/07/23
Thai,1,1,0,353783484,0,0,0,08/07/23
Turkish,2,2,0,353783484,0,0.5,1,08/07/23
Chinese,3,3,0,353783484,0,1,3,09/07/23
English,442,494,0,353783484,0,0.658627087,355,09/07/23
French,3,4,0,353783484,0,0.75,3,09/07/23
Hungarian,1,1,0,353783484,0,1,1,09/07/23
Polish,1,1,0,353783484,0,0,0,09/07/23
Russian,1,1,0,353783484,0,0,0,09/07/23
Spanish,2,2,0,353783484,0,0,0,09/07/23
Tamil,1,1,0,353783484,0,0,0,09/07/23
Turkish,1,1,0,353783484,0,0,0,09/07/23
