region,newusers,totalusers,conversions,property_id,totalrevenue,engagementrate,engagedsessions,date
(not set),1,2,0,353783484,0,0.5,1,30/06/23
Alabama,1,2,0,353783484,0,0.5,1,30/06/23
Alberta,8,8,0,353783484,0,0.777777778,7,30/06/23
Arkansas,3,3,0,353783484,0,0.666666667,2,30/06/23
British Columbia,16,16,0,353783484,0,0.764705882,13,30/06/23
California,12,12,0,353783484,0,0.833333333,10,30/06/23
Colorado,1,1,0,353783484,0,1,1,30/06/23
Davao Region,1,1,0,353783484,0,1,1,30/06/23
England,17,17,0,353783484,0,0.631578947,12,30/06/23
Florida,9,9,0,353783484,0,0.444444444,4,30/06/23
Georgia,4,5,0,353783484,0,0.4,2,30/06/23
Groningen,1,1,0,353783484,0,0,0,30/06/23
Gujarat,1,1,0,353783484,0,1,1,30/06/23
Hawke's Bay,1,1,0,353783484,0,0.5,1,30/06/23
Illinois,4,4,0,353783484,0,1,4,30/06/23
Indiana,4,6,0,353783484,0,0.333333333,2,30/06/23
Jammu and Kashmir,1,1,0,353783484,0,1,1,30/06/23
Louisiana,1,1,0,353783484,0,1,1,30/06/23
Maine,1,1,0,353783484,0,0,0,30/06/23
Malacca,1,1,0,353783484,0,1,1,30/06/23
Maryland,1,1,0,353783484,0,0,0,30/06/23
Massachusetts,2,3,0,353783484,0,0.333333333,1,30/06/23
Metro Manila,1,1,0,353783484,0,0,0,30/06/23
Michigan,5,5,0,353783484,0,0.4,2,30/06/23
Minnesota,1,1,0,353783484,0,0,0,30/06/23
Mississippi,1,1,0,353783484,0,1,1,30/06/23
Missouri,1,1,0,353783484,0,1,2,30/06/23
Nakhon Ratchasima,1,1,0,353783484,0,1,1,30/06/23
Nevada,4,4,0,353783484,0,0.75,3,30/06/23
New Brunswick,1,1,0,353783484,0,1,1,30/06/23
New Jersey,2,2,0,353783484,0,0.5,1,30/06/23
New Mexico,1,1,0,353783484,0,1,1,30/06/23
New Providence,1,1,0,353783484,0,0,0,30/06/23
New York,5,6,0,353783484,0,0.5,3,30/06/23
North Carolina,4,4,0,353783484,0,0.8,4,30/06/23
North Dakota,1,1,0,353783484,0,1,1,30/06/23
Northern Mindanao,1,1,0,353783484,0,1,1,30/06/23
Nova Scotia,3,3,0,353783484,0,0.666666667,2,30/06/23
Ohio,1,1,0,353783484,0,1,1,30/06/23
Oklahoma,2,2,0,353783484,0,1,2,30/06/23
Ontario,187,193,0,353783484,0,0.623255814,134,30/06/23
Oregon,3,3,0,353783484,0,0.666666667,2,30/06/23
Pennsylvania,5,5,0,353783484,0,0.4,2,30/06/23
Quebec,42,46,0,353783484,0,0.551020408,27,30/06/23
Rhode Island,1,1,0,353783484,0,1,1,30/06/23
Scotland,2,2,0,353783484,0,1,2,30/06/23
South Australia,1,1,0,353783484,0,1,1,30/06/23
South Carolina,3,3,0,353783484,0,0.666666667,2,30/06/23
Tennessee,1,1,0,353783484,0,1,1,30/06/23
Texas,14,14,0,353783484,0,0.714285714,10,30/06/23
Utah,2,2,0,353783484,0,0.5,1,30/06/23
Victoria,1,1,0,353783484,0,0,0,30/06/23
Virginia,7,7,0,353783484,0,0.714285714,5,30/06/23
Wales,1,1,0,353783484,0,1,1,30/06/23
Washington,1,1,0,353783484,0,1,1,30/06/23
Wellington,1,1,0,353783484,0,1,1,30/06/23
West Bengal,1,1,0,353783484,0,0,0,30/06/23
West Virginia,1,1,0,353783484,0,1,1,30/06/23
Wisconsin,1,1,0,353783484,0,0,0,30/06/23
(not set),2,2,0,353783484,0,1,2,01/07/23
Alberta,12,12,0,353783484,0,0.571428571,8,01/07/23
Amman Governorate,1,1,0,353783484,0,0,0,01/07/23
Arkansas,3,4,0,353783484,0,0,0,01/07/23
Auckland,2,2,0,353783484,0,1,2,01/07/23
Australian Capital Territory,1,1,0,353783484,0,0,0,01/07/23
Bangkok,1,1,0,353783484,0,1,1,01/07/23
British Columbia,17,19,0,353783484,0,0.571428571,12,01/07/23
Buenos Aires Province,1,1,0,353783484,0,1,1,01/07/23
California,15,15,0,353783484,0,0.5625,9,01/07/23
Colorado,2,2,0,353783484,0,0.5,1,01/07/23
County Dublin,2,2,0,353783484,0,0,0,01/07/23
County Galway,1,1,0,353783484,0,1,1,01/07/23
Delaware,1,1,0,353783484,0,0,0,01/07/23
England,33,33,0,353783484,0,0.794117647,27,01/07/23
Florida,13,13,0,353783484,0,0.5,7,01/07/23
Fukui,1,1,0,353783484,0,1,1,01/07/23
Georgia,9,10,0,353783484,0,0.5,5,01/07/23
Groningen,1,1,0,353783484,0,1,1,01/07/23
Gujarat,0,1,0,353783484,0,0,0,01/07/23
Hawaii,2,2,0,353783484,0,0.666666667,2,01/07/23
Hawke's Bay,1,1,0,353783484,0,1,1,01/07/23
Illinois,7,7,0,353783484,0,0.857142857,6,01/07/23
Indiana,5,5,0,353783484,0,0.8,4,01/07/23
Iowa,1,1,0,353783484,0,1,1,01/07/23
Kentucky,1,1,0,353783484,0,0,0,01/07/23
Kerala,1,1,0,353783484,0,0,0,01/07/23
Lagos,1,1,0,353783484,0,1,1,01/07/23
Limpopo,1,1,0,353783484,0,1,1,01/07/23
Maharashtra,1,1,0,353783484,0,0,0,01/07/23
Maine,1,1,0,353783484,0,0,0,01/07/23
Manawatu-Wanganui,1,1,0,353783484,0,1,1,01/07/23
Manitoba,1,1,0,353783484,0,0,0,01/07/23
Maryland,3,3,0,353783484,0,0.666666667,2,01/07/23
Massachusetts,4,4,0,353783484,0,0.25,1,01/07/23
Michigan,5,5,0,353783484,0,0.8,4,01/07/23
Minnesota,1,1,0,353783484,0,1,1,01/07/23
Montana,1,1,0,353783484,0,0,0,01/07/23
Nairobi County,1,1,0,353783484,0,0,0,01/07/23
Nevada,2,2,0,353783484,0,0,0,01/07/23
New Hampshire,1,1,0,353783484,0,0,0,01/07/23
New Jersey,3,3,0,353783484,0,0.666666667,2,01/07/23
New Mexico,1,1,0,353783484,0,1,1,01/07/23
New South Wales,4,4,0,353783484,0,1,4,01/07/23
New York,7,9,0,353783484,0,0.444444444,4,01/07/23
North Brabant,1,1,0,353783484,0,1,1,01/07/23
North Carolina,4,4,0,353783484,0,0.75,3,01/07/23
Northern Ireland,1,2,0,353783484,0,0.5,1,01/07/23
Nova Scotia,4,4,0,353783484,0,1,4,01/07/23
Odisha,3,3,0,353783484,0,0.75,3,01/07/23
Ohio,6,6,0,353783484,0,0.5,3,01/07/23
Oklahoma,3,3,0,353783484,0,0.333333333,1,01/07/23
