browser,newusers,eventcount,totalusers,conversions,totalrevenue,engagementrate,engagedsessions,date
Android Webview,13,42,13,0,0,0.153846154,2,30/06/23
Chrome,181,1475,181,0,0,0.710784314,145,30/06/23
Edge,14,93,14,0,0,0.857142857,12,30/06/23
Firefox,6,90,6,0,0,0.714285714,5,30/06/23
Opera,1,5,1,0,0,1,1,30/06/23
Safari,175,992,175,0,0,0.589189189,109,30/06/23
Safari (in-app),1,3,1,0,0,0,0,30/06/23
Samsung Internet,11,61,11,0,0,0.769230769,10,30/06/23
Android Webview,22,67,22,0,0,0.045454545,1,01/07/23
Chrome,195,1504,204,0,0,0.702702703,156,01/07/23
Edge,6,122,6,0,0,0.714285714,5,01/07/23
Firefox,4,15,4,0,0,0.25,1,01/07/23
Opera,2,8,2,0,0,0,0,01/07/23
Safari,182,1040,189,0,0,0.607843137,124,01/07/23
Samsung Internet,11,56,15,0,0,0.466666667,7,01/07/23
Android Webview,24,89,24,0,0,0.125,3,02/07/23
Chrome,210,1455,218,0,0,0.700854701,164,02/07/23
Edge,13,111,13,0,0,0.733333333,11,02/07/23
Firefox,6,63,6,0,0,0.714285714,5,02/07/23
Mozilla Compatible Agent,1,3,1,0,0,0,0,02/07/23
Safari,182,1141,190,0,0,0.658653846,137,02/07/23
Safari (in-app),2,12,2,0,0,0.333333333,1,02/07/23
Samsung Internet,18,184,18,0,0,0.684210526,13,02/07/23
Android Webview,26,102,26,0,0,0.037037037,1,03/07/23
Chrome,273,2174,291,0,0,0.686335404,221,03/07/23
Edge,18,204,18,0,0,0.684210526,13,03/07/23
Firefox,7,61,8,0,0,0.636363636,7,03/07/23
Opera,2,11,2,0,0,1,2,03/07/23
Safari,231,1426,235,0,0,0.62109375,159,03/07/23
Safari (in-app),2,7,2,0,0,0.5,1,03/07/23
Samsung Internet,10,68,11,0,0,0.727272727,8,03/07/23
Android Webview,18,58,19,0,0,0,0,04/07/23
Chrome,274,2353,297,0,0,0.655688623,219,04/07/23
Edge,22,598,23,0,0,0.821428571,23,04/07/23
Firefox,12,96,13,0,0,0.588235294,10,04/07/23
Safari,249,1753,258,0,0,0.592334495,170,04/07/23
Safari (in-app),3,12,3,0,0,0.666666667,2,04/07/23
Samsung Internet,12,158,15,0,0,0.6,12,04/07/23
Android Webview,22,78,24,0,0,0.125,3,05/07/23
Chrome,266,2275,292,0,0,0.693009119,228,05/07/23
Edge,26,174,28,0,0,0.606060606,20,05/07/23
Firefox,15,91,16,0,0,0.777777778,14,05/07/23
Opera,1,4,1,0,0,0,0,05/07/23
Safari,219,1465,232,0,0,0.603921569,154,05/07/23
Safari (in-app),3,10,3,0,0,0.333333333,1,05/07/23
Samsung Internet,13,50,13,0,0,0.615384615,8,05/07/23
Android Webview,21,65,21,0,0,0.095238095,2,06/07/23
Chrome,261,2526,289,0,0,0.648093842,221,06/07/23
Edge,18,252,24,0,0,0.714285714,20,06/07/23
Firefox,11,119,15,0,0,0.588235294,10,06/07/23
Opera,1,4,1,0,0,1,1,06/07/23
Safari,213,1332,233,0,0,0.566929134,144,06/07/23
Safari (in-app),1,4,1,0,0,0,0,06/07/23
Samsung Internet,14,99,15,0,0,0.555555556,10,06/07/23
UC Browser,1,4,1,0,0,1,1,06/07/23
Android Webview,21,70,22,0,0,0.086956522,2,07/07/23
Chrome,212,2135,248,0,0,0.676923077,176,07/07/23
Edge,20,234,23,0,0,0.807692308,21,07/07/23
Firefox,14,115,17,0,0,0.722222222,13,07/07/23
Mozilla Compatible Agent,1,4,1,0,0,1,1,07/07/23
Safari,196,1226,216,0,0,0.543933054,130,07/07/23
Safari (in-app),2,6,2,0,0,0,0,07/07/23
Samsung Internet,9,46,9,0,0,0.555555556,5,07/07/23
Android Webview,21,66,22,0,0,0.045454545,1,08/07/23
Chrome,199,1406,211,0,0,0.699115044,158,08/07/23
Edge,8,58,10,0,0,0.8,8,08/07/23
Firefox,7,107,10,0,0,0.692307692,9,08/07/23
Opera,1,10,1,0,0,0.5,1,08/07/23
Safari,213,1395,228,0,0,0.663934426,162,08/07/23
Safari (in-app),1,4,1,0,0,1,1,08/07/23
Samsung Internet,15,135,16,0,0,0.647058824,11,08/07/23
Android Webview,19,61,20,0,0,0.05,1,09/07/23
Chrome,196,1785,225,0,0,0.662790698,171,09/07/23
Edge,8,192,9,0,0,1,9,09/07/23
Firefox,7,35,7,0,0,0.857142857,6,09/07/23
Opera,2,33,3,0,0,0.666666667,2,09/07/23
Safari,207,1273,225,0,0,0.665254237,157,09/07/23
Safari (in-app),1,3,1,0,0,0,0,09/07/23
Samsung Internet,15,154,17,0,0,0.789473684,15,09/07/23
UC Browser,0,3,1,0,0,1,1,09/07/23
Android Webview,22,72,23,0,0,0.086956522,2,10/07/23
Chrome,291,2882,329,0,0,0.679144385,254,10/07/23
Edge,16,232,20,0,0,0.84,21,10/07/23
Firefox,15,225,16,0,0,0.722222222,13,10/07/23
Opera,1,4,1,0,0,1,1,10/07/23
Safari,237,1829,258,0,0,0.629757785,182,10/07/23
Safari (in-app),2,25,2,0,0,0.5,1,10/07/23
Samsung Internet,18,90,21,0,0,0.416666667,10,10/07/23
Android Webview,16,57,18,0,0,0.052631579,1,11/07/23
Chrome,248,2168,282,0,0,0.690184049,225,11/07/23
Edge,24,473,31,0,0,0.871794872,34,11/07/23
Firefox,19,126,21,0,0,0.952380952,20,11/07/23
Safari,209,1925,231,0,0,0.681102362,173,11/07/23
Safari (in-app),4,20,4,0,0,0.5,2,11/07/23
Samsung Internet,9,48,12,0,0,0.916666667,11,11/07/23
Android Webview,11,41,12,0,0,0.083333333,1,12/07/23
Chrome,248,2271,290,0,0,0.669724771,219,12/07/23
Edge,29,300,31,0,0,0.666666667,24,12/07/23
Firefox,10,54,10,0,0,0.7,7,12/07/23
Safari,219,1435,240,0,0,0.55078125,141,12/07/23
Safari (in-app),1,6,1,0,0,1,1,12/07/23
Samsung Internet,14,155,17,0,0,0.5,10,12/07/23
Android Webview,22,67,22,0,0,0,0,13/07/23
Chrome,245,2441,276,0,0,0.637223975,202,13/07/23
Edge,15,127,19,0,0,0.7,14,13/07/23
Firefox,16,158,24,0,0,0.642857143,18,13/07/23
Mozilla Compatible Agent,1,3,1,0,0,0,0,13/07/23
Opera,2,7,2,0,0,0.5,1,13/07/23
Safari,208,1499,225,0,0,0.648979592,159,13/07/23
Safari (in-app),2,9,2,0,0,0.5,1,13/07/23
Samsung Internet,17,122,17,0,0,0.777777778,14,13/07/23
Android Webview,29,89,29,0,0,0.034482759,1,14/07/23
Chrome,249,2135,282,0,0,0.675159236,212,14/07/23
Edge,17,191,22,0,0,0.791666667,19,14/07/23
Firefox,3,16,5,0,0,0.6,3,14/07/23
Opera,0,14,1,0,0,1,1,14/07/23
Safari,197,1321,216,0,0,0.591269841,149,14/07/23
Safari (in-app),3,11,3,0,0,0,0,14/07/23
Samsung Internet,17,68,18,0,0,0.5,9,14/07/23
Android Webview,19,66,23,0,0,0.043478261,1,15/07/23
Chrome,221,1982,249,0,0,0.67032967,183,15/07/23
Edge,5,128,10,0,0,0.833333333,10,15/07/23
Firefox,6,43,7,0,0,0.714285714,5,15/07/23
Opera,1,4,1,0,0,1,1,15/07/23
Safari,232,1859,254,0,0,0.649819495,180,15/07/23
Safari (in-app),1,7,1,0,0,1,1,15/07/23
Samsung Internet,14,131,15,0,0,0.823529412,14,15/07/23
YaBrowser,1,6,1,0,0,1,1,15/07/23
Android Webview,20,62,20,0,0,0,0,16/07/23
Chrome,187,1754,217,0,0,0.672268908,160,16/07/23
Edge,9,144,15,0,0,0.823529412,14,16/07/23
Firefox,10,123,11,0,0,0.928571429,13,16/07/23
Opera,1,4,1,0,0,1,1,16/07/23
Safari,218,1595,232,0,0,0.712062257,183,16/07/23
Safari (in-app),3,13,3,0,0,0.333333333,1,16/07/23
Samsung Internet,9,70,9,0,0,0.7,7,16/07/23
Android Webview,21,65,21,0,0,0.095238095,2,17/07/23
Chrome,288,3031,345,0,0,0.64516129,260,17/07/23
Edge,22,154,24,0,0,0.769230769,20,17/07/23
Firefox,15,222,17,0,0,0.681818182,15,17/07/23
Safari,224,1757,252,0,0,0.606617647,165,17/07/23
Safari (in-app),1,3,1,0,0,0,0,17/07/23
Samsung Internet,11,79,14,0,0,0.933333333,14,17/07/23
Android Webview,26,81,26,0,0,0.038461538,1,18/07/23
Chrome,221,2493,270,0,0,0.715719064,214,18/07/23
Edge,21,142,24,0,0,0.68,17,18/07/23
Firefox,11,122,14,0,0,0.764705882,13,18/07/23
Opera,2,8,2,0,0,1,2,18/07/23
Safari,206,1659,234,0,0,0.615686275,157,18/07/23
Safari (in-app),3,15,3,0,0,0.333333333,1,18/07/23
Samsung Internet,14,138,14,0,0,0.733333333,11,18/07/23
Android Webview,16,50,17,0,0,0,0,19/07/23
Chrome,235,2256,272,0,0,0.662460568,210,19/07/23
Edge,17,177,19,0,0,0.625,15,19/07/23
Firefox,11,180,13,0,0,0.7,14,19/07/23
Safari,209,1568,243,0,0,0.608058608,166,19/07/23
Safari (in-app),3,10,3,0,0,0.333333333,1,19/07/23
Samsung Internet,10,42,11,0,0,0.545454545,6,19/07/23
