newusers,eventcount,totalusers,conversions,totalrevenue,devicecategory,engagementrate,engagedsessions,date
134,1333,134,0,0,desktop,0.766666667,115,30/06/23
264,1410,264,0,0,mobile,0.584507042,166,30/06/23
4,18,4,0,0,tablet,0.75,3,30/06/23
100,1086,106,0,0,desktop,0.760330579,92,01/07/23
306,1644,320,0,0,mobile,0.552941176,188,01/07/23
16,82,16,0,0,tablet,0.875,14,01/07/23
113,1118,120,0,0,desktop,0.77037037,104,02/07/23
324,1831,333,0,0,mobile,0.605633803,215,02/07/23
19,109,19,0,0,tablet,0.7,14,02/07/23
182,1807,195,0,0,desktop,0.756637168,171,03/07/23
371,2134,381,0,0,mobile,0.568627451,232,03/07/23
16,112,17,0,0,tablet,0.529411765,9,03/07/23
230,2936,249,0,0,desktop,0.701388889,202,04/07/23
339,1934,358,0,0,mobile,0.551378446,220,04/07/23
21,158,21,0,0,tablet,0.636363636,14,04/07/23
209,2037,230,0,0,desktop,0.68401487,184,05/07/23
337,2026,360,0,0,mobile,0.607235142,235,05/07/23
19,84,19,0,0,tablet,0.473684211,9,05/07/23
215,2438,247,0,0,desktop,0.677852349,202,06/07/23
312,1847,335,0,0,mobile,0.52892562,192,06/07/23
14,120,18,0,0,tablet,0.681818182,15,06/07/23
174,2108,209,0,0,desktop,0.709821429,159,07/07/23
287,1613,315,0,0,mobile,0.519061584,177,07/07/23
14,115,14,0,0,tablet,0.928571429,13,07/07/23
108,900,120,0,0,desktop,0.708955224,95,08/07/23
339,2160,359,0,0,mobile,0.636842105,242,08/07/23
18,121,20,0,0,tablet,0.636363636,14,08/07/23
119,1227,141,0,0,desktop,0.745098039,114,09/07/23
318,2185,347,0,0,mobile,0.614775726,233,09/07/23
1,3,1,0,0,smart tv,0,0,09/07/23
17,124,19,0,0,tablet,0.75,15,09/07/23
234,2569,271,0,0,desktop,0.742765273,231,10/07/23
349,2579,377,0,0,mobile,0.575829384,243,10/07/23
19,211,22,0,0,tablet,0.434782609,10,10/07/23
212,2819,252,0,0,desktop,0.717171717,213,11/07/23
307,1940,338,0,0,mobile,0.666666667,246,11/07/23
10,58,10,0,0,tablet,0.7,7,11/07/23
204,1993,240,0,0,desktop,0.694339623,184,12/07/23
314,2190,347,0,0,mobile,0.550649351,212,12/07/23
14,79,14,0,0,tablet,0.571428571,8,12/07/23
201,2281,235,0,0,desktop,0.698884758,188,13/07/23
316,2025,341,0,0,mobile,0.562162162,208,13/07/23
11,127,12,0,0,tablet,0.8125,13,13/07/23
171,1702,208,0,0,desktop,0.699588477,170,14/07/23
331,2032,353,0,0,mobile,0.545219638,211,14/07/23
13,111,15,0,0,tablet,0.722222222,13,14/07/23
127,1443,148,0,0,desktop,0.754491018,126,15/07/23
356,2542,395,0,0,mobile,0.603286385,257,15/07/23
17,241,18,0,0,tablet,0.65,13,15/07/23
112,1560,139,0,0,desktop,0.756410256,118,16/07/23
336,2094,358,0,0,mobile,0.645408163,253,16/07/23
9,111,10,0,0,tablet,0.692307692,9,16/07/23
229,2845,279,0,0,desktop,0.685628743,229,17/07/23
342,2366,379,0,0,mobile,0.580882353,237,17/07/23
11,100,16,0,0,tablet,0.5625,9,17/07/23
182,2551,234,0,0,desktop,0.728301887,193,18/07/23
315,2037,343,0,0,mobile,0.586956522,216,18/07/23
7,70,10,0,0,tablet,0.727272727,8,18/07/23
195,2308,233,0,0,desktop,0.696864111,200,19/07/23
293,1908,329,0,0,mobile,0.559556787,202,19/07/23
13,67,16,0,0,tablet,0.625,10,19/07/23
178,2570,215,0,0,desktop,0.660305344,173,20/07/23
280,1999,313,0,0,mobile,0.555232558,191,20/07/23
12,87,14,0,0,tablet,0.571428571,8,20/07/23
153,1524,187,0,0,desktop,0.676190476,142,21/07/23
285,1859,325,0,0,mobile,0.543661972,193,21/07/23
10,87,11,0,0,tablet,0.636363636,7,21/07/23
107,1368,133,0,0,desktop,0.74829932,110,22/07/23
303,2029,337,0,0,mobile,0.585831063,215,22/07/23
10,61,11,0,0,tablet,0.5,6,22/07/23
110,1117,133,0,0,desktop,0.726666667,109,23/07/23
335,2525,359,0,0,mobile,0.6328125,243,23/07/23
6,49,6,0,0,tablet,0.666666667,4,23/07/23
191,2594,236,0,0,desktop,0.712177122,193,24/07/23
316,2108,341,0,0,mobile,0.615789474,234,24/07/23
10,54,11,0,0,tablet,0.818181818,9,24/07/23
172,3002,209,0,0,desktop,0.751072961,175,25/07/23
305,2249,345,0,0,mobile,0.577540107,216,25/07/23
13,85,15,0,0,tablet,0.6,9,25/07/23
209,2203,247,0,0,desktop,0.687943262,194,26/07/23
264,1854,296,0,0,mobile,0.605590062,195,26/07/23
16,105,19,0,0,tablet,0.65,13,26/07/23
149,1566,190,0,0,desktop,0.680952381,143,27/07/23
312,1788,345,0,0,mobile,0.606951872,227,27/07/23
19,195,21,0,0,tablet,0.761904762,16,27/07/23
136,2080,173,0,0,desktop,0.735294118,150,28/07/23
263,1677,296,0,0,mobile,0.579439252,186,28/07/23
20,150,22,0,0,tablet,0.869565217,20,28/07/23
114,1494,139,0,0,desktop,0.710691824,113,29/07/23
351,3011,395,0,0,mobile,0.643835616,282,29/07/23
20,135,21,0,0,tablet,0.952380952,20,29/07/23
105,1152,126,0,0,desktop,0.757352941,103,30/07/23
303,2218,329,0,0,mobile,0.62745098,224,30/07/23
17,120,20,0,0,tablet,0.619047619,13,30/07/23
227,2794,271,0,0,desktop,0.719242902,228,31/07/23
303,2054,334,0,0,mobile,0.606557377,222,31/07/23
14,81,15,0,0,tablet,0.666666667,10,31/07/23
217,2196,260,0,0,desktop,0.667808219,195,01/08/23
285,2098,314,0,0,mobile,0.590116279,203,01/08/23
13,97,14,0,0,tablet,0.714285714,10,01/08/23
189,2124,223,0,0,desktop,0.732283465,186,02/08/23
295,1848,324,0,0,mobile,0.549132948,190,02/08/23
13,49,13,0,0,tablet,0.538461538,7,02/08/23
182,2122,219,0,0,desktop,0.7421875,190,03/08/23
289,1760,316,0,0,mobile,0.530791789,181,03/08/23
7,70,7,0,0,tablet,0.857142857,6,03/08/23
164,1766,203,0,0,desktop,0.694690265,157,04/08/23
291,1952,313,0,0,mobile,0.589970501,200,04/08/23
20,133,21,0,0,tablet,0.583333333,14,04/08/23
98,1135,118,0,0,desktop,0.717391304,99,05/08/23
304,1789,322,0,0,mobile,0.64516129,220,05/08/23
7,29,8,0,0,tablet,0.625,5,05/08/23
93,985,111,0,0,desktop,0.733333333,88,06/08/23
265,1455,285,0,0,mobile,0.623287671,182,06/08/23
11,129,11,0,0,tablet,0.75,9,06/08/23
157,2095,183,0,0,desktop,0.764423077,159,07/08/23
292,2071,328,0,0,mobile,0.601719198,210,07/08/23
23,176,26,0,0,tablet,0.730769231,19,07/08/23
215,3067,264,0,0,desktop,0.738562092,226,08/08/23
254,2009,285,0,0,mobile,0.591900312,190,08/08/23
18,205,21,0,0,tablet,0.590909091,13,08/08/23
150,1551,188,0,0,desktop,0.627802691,140,09/08/23
276,1972,309,0,0,mobile,0.598265896,207,09/08/23
9,60,12,0,0,tablet,0.833333333,10,09/08/23
183,2405,229,0,0,desktop,0.751851852,203,10/08/23
266,2163,297,0,0,mobile,0.570987654,185,10/08/23
13,107,13,0,0,tablet,0.538461538,7,10/08/23
158,1741,193,0,0,desktop,0.740566038,157,11/08/23
241,1655,275,0,0,mobile,0.629139073,190,11/08/23
17,96,18,0,0,tablet,0.578947368,11,11/08/23
