newusers,eventcount,totalusers,conversions,totalrevenue,engagementrate,engagedsessions,operatingsystem,date
101,572,101,0,0,0.637168142,72,Android,30/06/23
1,4,1,0,0,1,1,Chrome OS,30/06/23
167,856,167,0,0,0.554285714,97,iOS,30/06/23
2,6,2,0,0,0,0,Linux,30/06/23
41,364,41,0,0,0.795454545,35,Macintosh,30/06/23
90,959,90,0,0,0.766990291,79,Windows,30/06/23
142,796,148,0,0,0.512987013,79,Android,01/07/23
1,21,1,0,0,1,1,Chrome OS,01/07/23
180,930,188,0,0,0.608910891,123,iOS,01/07/23
1,4,1,0,0,0,0,Linux,01/07/23
42,436,45,0,0,0.769230769,40,Macintosh,01/07/23
56,625,59,0,0,0.76119403,51,Windows,01/07/23
156,872,158,0,0,0.573170732,94,Android,02/07/23
187,1068,194,0,0,0.641509434,136,iOS,02/07/23
1,5,1,0,0,1,1,Linux,02/07/23
46,427,50,0,0,0.763636364,42,Macintosh,02/07/23
66,686,69,0,0,0.772151899,61,Windows,02/07/23
158,796,165,0,0,0.520710059,88,Android,03/07/23
3,25,3,0,0,1,3,Chrome OS,03/07/23
229,1450,233,0,0,0.6,153,iOS,03/07/23
1,8,1,0,0,1,1,Linux,03/07/23
62,629,64,0,0,0.842857143,59,Macintosh,03/07/23
116,1145,127,0,0,0.710526316,108,Windows,03/07/23
125,763,136,0,0,0.547297297,81,Android,04/07/23
5,78,5,0,0,1,6,Chrome OS,04/07/23
235,1329,243,0,0,0.564575646,153,iOS,04/07/23
3,15,3,0,0,0.5,2,Linux,04/07/23
85,1184,93,0,0,0.761904762,80,Macintosh,04/07/23
137,1659,148,0,0,0.658959538,114,Windows,04/07/23
138,779,147,0,0,0.605263158,92,Android,05/07/23
2,46,2,0,0,1,2,Chrome OS,05/07/23
218,1331,232,0,0,0.598425197,152,iOS,05/07/23
2,7,2,0,0,0.5,1,Linux,05/07/23
58,576,64,0,0,0.589041096,43,Macintosh,05/07/23
147,1408,162,0,0,0.715025907,138,Windows,05/07/23
135,803,145,0,0,0.546052632,83,Android,06/07/23
1,29,2,0,0,1,2,Chrome OS,06/07/23
191,1164,208,0,0,0.534482759,124,iOS,06/07/23
2,10,2,0,0,1,2,Linux,06/07/23
68,813,81,0,0,0.720430108,67,Macintosh,06/07/23
144,1586,162,0,0,0.651741294,131,Windows,06/07/23
111,561,121,0,0,0.531746032,67,Android,07/07/23
2,51,3,0,0,0.666666667,2,Chrome OS,07/07/23
190,1167,208,0,0,0.537117904,123,iOS,07/07/23
3,10,3,0,0,0.333333333,1,Linux,07/07/23
52,409,62,0,0,0.703125,45,Macintosh,07/07/23
117,1638,141,0,0,0.720779221,111,Windows,07/07/23
150,937,155,0,0,0.604938272,98,Android,08/07/23
2,10,2,0,0,1,2,Chrome OS,08/07/23
207,1344,224,0,0,0.661087866,158,iOS,08/07/23
3,14,3,0,0,1,3,Linux,08/07/23
46,380,50,0,0,0.714285714,40,Macintosh,08/07/23
57,496,65,0,0,0.684931507,50,Windows,08/07/23
145,1160,161,0,0,0.592178771,106,Android,09/07/23
3,76,3,0,0,1,3,Chrome OS,09/07/23
1,3,1,0,0,0,0,Fuchsia,09/07/23
190,1149,205,0,0,0.642533937,142,iOS,09/07/23
4,16,4,0,0,0.75,3,Linux,09/07/23
58,486,69,0,0,0.690140845,49,Macintosh,09/07/23
54,649,65,0,0,0.786666667,59,Windows,09/07/23
139,961,154,0,0,0.51497006,86,Android,10/07/23
5,48,6,0,0,0.833333333,5,Chrome OS,10/07/23
229,1829,245,0,0,0.602888087,167,iOS,10/07/23
1,3,1,0,0,0,0,Linux,10/07/23
79,954,94,0,0,0.738317757,79,Macintosh,10/07/23
