sessions,eventcount,totalusers,conversions,property_id,totalrevenue,engagementrate,engagedsessions,eventspersession,userengagementduration,sessiondefaultchannelgrouping,date
4,43,4,0,353783484,0,1,4,10.75,311,Cross-network,30/06/23
54,444,47,0,353783484,0,0.537037037,29,8.222222222,3855,Direct,30/06/23
301,1527,281,0,353783484,0,0.677740864,204,5.073089701,19610,Organic Search,30/06/23
14,48,13,0,353783484,0,0.071428571,1,3.428571429,65,Organic Social,30/06/23
3,21,2,0,353783484,0,0.666666667,2,7,97,Organic Video,30/06/23
56,642,53,0,353783484,0,0.678571429,38,11.46428571,8195,Paid Search,30/06/23
5,32,4,0,353783484,0,1,5,6.4,323,Referral,30/06/23
1,4,1,0,353783484,0,1,1,4,12,Unassigned,30/06/23
1,3,1,0,353783484,0,0,0,3,0,Cross-network,01/07/23
28,172,25,0,353783484,0,0.535714286,15,6.142857143,1895,Direct,01/07/23
1,3,1,0,353783484,0,0,0,3,0,Display,01/07/23
342,1824,320,0,353783484,0,0.643274854,220,5.333333333,22772,Organic Search,01/07/23
23,71,23,0,353783484,0,0.086956522,2,3.086956522,34,Organic Social,01/07/23
2,28,2,0,353783484,0,0.5,1,14,81,Organic Video,01/07/23
78,707,70,0,353783484,0,0.717948718,56,9.064102564,8143,Paid Search,01/07/23
2,4,2,0,353783484,0,0,0,2,309,Unassigned,01/07/23
1,6,1,0,353783484,0,1,1,6,47,Cross-network,02/07/23
44,314,41,0,353783484,0,0.590909091,26,7.136363636,2746,Direct,02/07/23
357,1851,331,0,353783484,0,0.669467787,239,5.18487395,22140,Organic Search,02/07/23
24,88,24,0,353783484,0,0.083333333,2,3.666666667,36,Organic Social,02/07/23
1,44,1,0,353783484,0,1,1,44,2063,Organic Video,02/07/23
81,746,76,0,353783484,0,0.790123457,64,9.209876543,5983,Paid Search,02/07/23
1,4,1,0,353783484,0,0,0,4,3,Referral,02/07/23
1,5,1,0,353783484,0,0,0,5,62,Unassigned,02/07/23
51,387,44,0,353783484,0,0.529411765,27,7.588235294,2990,Direct,03/07/23
434,2293,396,0,353783484,0,0.67281106,292,5.283410138,25999,Organic Search,03/07/23
27,102,26,0,353783484,0,0.037037037,1,3.777777778,288,Organic Social,03/07/23
17,236,17,0,353783484,0,0.823529412,14,13.88235294,2986,Organic Video,03/07/23
116,977,105,0,353783484,0,0.655172414,76,8.422413793,8789,Paid Search,03/07/23
2,46,2,0,353783484,0,1,2,23,434,Referral,03/07/23
4,12,4,0,353783484,0,0,0,3,0,Unassigned,03/07/23
6,39,6,0,353783484,0,0.666666667,4,6.5,207,Cross-network,04/07/23
60,534,54,0,353783484,0,0.6,36,8.9,6308,Direct,04/07/23
482,3260,430,0,353783484,0,0.657676349,317,6.763485477,46446,Organic Search,04/07/23
18,55,18,0,353783484,0,0,0,3.055555556,3,Organic Social,04/07/23
26,201,17,0,353783484,0,0.423076923,11,7.730769231,2609,Organic Video,04/07/23
105,876,95,0,353783484,0,0.638095238,67,8.342857143,5967,Paid Search,04/07/23
1,17,1,0,353783484,0,1,1,17,116,Referral,04/07/23
11,46,11,0,353783484,0,0,0,4.181818182,243,Unassigned,04/07/23
4,23,3,0,353783484,0,0.5,2,5.75,62,Cross-network,05/07/23
64,357,55,0,353783484,0,0.515625,33,5.578125,3114,Direct,05/07/23
485,2703,436,0,353783484,0,0.655670103,318,5.573195876,29695,Organic Search,05/07/23
24,73,24,0,353783484,0,0.083333333,2,3.041666667,2,Organic Social,05/07/23
3,27,1,0,353783484,0,0.666666667,2,9,123,Organic Video,05/07/23
94,925,87,0,353783484,0,0.755319149,71,9.840425532,9171,Paid Search,05/07/23
5,39,5,0,353783484,0,0,0,7.8,345,Unassigned,05/07/23
1,19,1,0,353783484,0,1,1,19,390,Cross-network,06/07/23
86,579,67,0,353783484,0,0.488372093,42,6.73255814,5160,Direct,06/07/23
460,2987,413,0,353783484,0,0.645652174,297,6.493478261,35191,Organic Search,06/07/23
22,69,22,0,353783484,0,0.090909091,2,3.136363636,217,Organic Social,06/07/23
1,3,1,0,353783484,0,0,0,3,0,Organic Video,06/07/23
