sessions,eventcount,totalusers,conversions,property_id,totalrevenue,engagementrate,engagedsessions,eventspersession,sessioncampaignname,userengagementduration,date
54,444,47,0,353783484,0,0.537037037,29,8.222222222,(direct),3855,30/06/23
3,16,3,0,353783484,0,0.333333333,1,5.333333333,(not set),44,30/06/23
301,1527,281,0,353783484,0,0.677740864,204,5.073089701,(organic),19610,30/06/23
19,80,17,0,353783484,0,0.315789474,6,4.210526316,(referral),388,30/06/23
3,21,2,0,353783484,0,0.666666667,2,7,2122,97,30/06/23
1,3,1,0,353783484,0,0,0,3,DSA_Laminate Flooring,0,30/06/23
10,202,8,0,353783484,0,0.7,7,20.2,DSA_Search,2411,30/06/23
1,4,1,0,353783484,0,1,1,4,FBAd,12,30/06/23
4,43,4,0,353783484,0,1,4,10.75,Geo Fencing | June 2023,311,30/06/23
39,401,38,0,353783484,0,0.692307692,27,10.28205128,GTA Search,5460,30/06/23
3,20,3,0,353783484,0,1,3,6.666666667,Laminate Flooring - GTA,280,30/06/23
28,172,25,0,353783484,0,0.535714286,15,6.142857143,(direct),1895,01/07/23
1,1,1,0,353783484,0,0,0,1,(not set),309,01/07/23
341,1820,319,0,353783484,0,0.642228739,219,5.337243402,(organic),22682,01/07/23
24,75,24,0,353783484,0,0.125,3,3.125,(referral),124,01/07/23
2,28,2,0,353783484,0,0.5,1,14,2122,81,01/07/23
1,4,1,0,353783484,0,0,0,4,DSA_Laminate Flooring,4,01/07/23
9,63,8,0,353783484,0,0.888888889,8,7,DSA_Search,502,01/07/23
1,3,1,0,353783484,0,0,0,3,FBAd,0,01/07/23
1,3,1,0,353783484,0,0,0,3,Geo Fencing | June 2023,0,01/07/23
63,612,57,0,353783484,0,0.714285714,45,9.714285714,GTA Search,7544,01/07/23
1,3,1,0,353783484,0,0,0,3,Holidays,0,01/07/23
5,28,4,0,353783484,0,0.6,3,5.6,Laminate Flooring - GTA,93,01/07/23
44,314,41,0,353783484,0,0.590909091,26,7.136363636,(direct),2746,02/07/23
2,8,2,0,353783484,0,0,0,4,(not set),62,02/07/23
356,1839,330,0,353783484,0,0.668539326,238,5.165730337,(organic),21982,02/07/23
26,104,26,0,353783484,0,0.115384615,3,4,(referral),197,02/07/23
1,44,1,0,353783484,0,1,1,44,2122,2063,02/07/23
2,5,1,0,353783484,0,0,0,2.5,DSA_Laminate Flooring,0,02/07/23
6,41,5,0,353783484,0,0.833333333,5,6.833333333,DSA_Search,249,02/07/23
1,6,1,0,353783484,0,1,1,6,Geo Fencing | June 2023,47,02/07/23
65,594,63,0,353783484,0,0.815384615,53,9.138461538,GTA Search,5122,02/07/23
7,103,7,0,353783484,0,0.857142857,6,14.71428571,Laminate Flooring - GTA,612,02/07/23
51,387,44,0,353783484,0,0.529411765,27,7.588235294,(direct),2990,03/07/23
11,31,8,0,353783484,0,0,0,2.818181818,(not set),2,03/07/23
434,2292,396,0,353783484,0,0.670506912,291,5.281105991,(organic),25876,03/07/23
30,152,29,0,353783484,0,0.133333333,4,5.066666667,(referral),845,03/07/23
17,236,17,0,353783484,0,0.823529412,14,13.88235294,2122,2986,03/07/23
4,36,4,0,353783484,0,0.75,3,9,DSA_Laminate Flooring,339,03/07/23
15,161,15,0,353783484,0,0.8,12,10.73333333,DSA_Search,1263,03/07/23
4,12,4,0,353783484,0,0,0,3,FBAd,0,03/07/23
76,674,69,0,353783484,0,0.723684211,55,8.868421053,GTA Search,6688,03/07/23
9,72,8,0,353783484,0,0.666666667,6,8,Laminate Flooring - GTA,497,03/07/23
60,534,54,0,353783484,0,0.6,36,8.9,(direct),6308,04/07/23
5,29,5,0,353783484,0,0.2,1,5.8,(not set),243,04/07/23
481,3256,429,0,353783484,0,0.656964657,316,6.769230769,(organic),46428,04/07/23
20,76,20,0,353783484,0,0.1,2,3.8,(referral),137,04/07/23
26,201,17,0,353783484,0,0.423076923,11,7.730769231,2122,2609,04/07/23
5,35,5,0,353783484,0,0.6,3,7,DSA_Laminate Flooring,136,04/07/23
23,188,20,0,353783484,0,0.652173913,15,8.173913043,DSA_Search,1781,04/07/23
9,27,9,0,353783484,0,0,0,3,FBAd,0,04/07/23
6,39,6,0,353783484,0,0.666666667,4,6.5,Geo Fencing | June 2023,207,04/07/23
64,570,58,0,353783484,0,0.640625,41,8.90625,GTA Search,3676,04/07/23
10,73,9,0,353783484,0,0.7,7,7.3,Laminate Flooring - GTA,374,04/07/23
64,357,55,0,353783484,0,0.515625,33,5.578125,(direct),3114,05/07/23
5,39,5,0,353783484,0,0,0,7.8,(not set),345,05/07/23
481,2683,433,0,353783484,0,0.654885655,315,5.577962578,(organic),29424,05/07/23
28,93,27,0,353783484,0,0.178571429,5,3.321428571,(referral),273,05/07/23
3,27,1,0,353783484,0,0.666666667,2,9,2122,123,05/07/23
5,36,4,0,353783484,0,0.6,3,7.2,DSA_Laminate Flooring,561,05/07/23
13,96,12,0,353783484,0,0.692307692,9,7.384615385,DSA_Search,1114,05/07/23
1,3,1,0,353783484,0,0,0,3,FBAd,0,05/07/23
4,23,3,0,353783484,0,0.5,2,5.75,Geo Fencing | June 2023,62,05/07/23
67,703,63,0,353783484,0,0.76119403,51,10.49253731,GTA Search,6483,05/07/23
8,87,7,0,353783484,0,1,8,10.875,Laminate Flooring - GTA,1013,05/07/23
86,579,67,0,353783484,0,0.488372093,42,6.73255814,(direct),5160,06/07/23
2,7,2,0,353783484,0,0,0,3.5,(not set),36,06/07/23
457,2977,411,0,353783484,0,0.647702407,296,6.514223195,(organic),35108,06/07/23
31,116,28,0,353783484,0,0.225806452,7,3.741935484,(referral),1955,06/07/23
1,3,1,0,353783484,0,0,0,3,2122,0,06/07/23
2,21,2,0,353783484,0,1,2,10.5,DSA_Laminate Flooring,77,06/07/23
9,31,7,0,353783484,0,0.333333333,3,3.444444444,DSA_Search,74,06/07/23
6,18,6,0,353783484,0,0,0,3,FBAd,0,06/07/23
1,19,1,0,353783484,0,1,1,19,Geo Fencing | June 2023,390,06/07/23
77,523,67,0,353783484,0,0.636363636,49,6.792207792,GTA Search,4456,06/07/23
10,111,10,0,353783484,0,0.9,9,11.1,Laminate Flooring - GTA,883,06/07/23
66,332,61,0,353783484,0,0.46969697,31,5.03030303,(direct),2628,07/07/23
1,56,1,0,353783484,0,0,0,56,(not set),423,07/07/23
398,2596,370,0,353783484,0,0.635678392,253,6.522613065,(organic),32128,07/07/23
28,106,27,0,353783484,0,0.178571429,5,3.785714286,(referral),332,07/07/23
2,8,2,0,353783484,0,0.5,1,4,2122,22,07/07/23
2,20,2,0,353783484,0,1,2,10,DSA_Laminate Flooring,127,07/07/23
9,100,9,0,353783484,0,0.777777778,7,11.11111111,DSA_Search,634,07/07/23
3,9,3,0,353783484,0,0,0,3,FBAd,0,07/07/23
3,13,2,0,353783484,0,0.666666667,2,4.333333333,Geo Fencing | June 2023,41,07/07/23
62,558,59,0,353783484,0,0.725806452,45,9,GTA Search,5111,07/07/23
6,38,5,0,353783484,0,0.5,3,6.333333333,Laminate Flooring - GTA,211,07/07/23
37,307,35,0,353783484,0,0.621621622,23,8.297297297,(direct),2862,08/07/23
3,9,3,0,353783484,0,0,0,3,(not set),0,08/07/23
380,2005,356,0,353783484,0,0.697368421,265,5.276315789,(organic),26045,08/07/23
24,96,24,0,353783484,0,0.166666667,4,4,(referral),276,08/07/23
3,46,3,0,353783484,0,1,3,15.33333333,DSA_Laminate Flooring,358,08/07/23
4,21,3,0,353783484,0,0.5,2,5.25,DSA_Search,35,08/07/23
1,3,1,0,353783484,0,0,0,3,FBAd,0,08/07/23
6,31,6,0,353783484,0,0.5,3,5.166666667,Geo Fencing | June 2023,75,08/07/23
72,638,65,0,353783484,0,0.652777778,47,8.861111111,GTA Search,5517,08/07/23
5,25,4,0,353783484,0,0.6,3,5,Laminate Flooring - GTA,1476,08/07/23
39,356,35,0,353783484,0,0.615384615,24,9.128205128,(direct),3331,09/07/23
2,3,2,0,353783484,0,0,0,1.5,(not set),29,09/07/23
388,2312,364,0,353783484,0,0.68556701,266,5.958762887,(organic),26511,09/07/23
26,129,24,0,353783484,0,0.230769231,6,4.961538462,(referral),1179,09/07/23
4,73,4,0,353783484,0,1,4,18.25,DSA_Laminate Flooring,402,09/07/23
10,107,9,0,353783484,0,0.7,7,10.7,DSA_Search,1007,09/07/23
5,37,5,0,353783484,0,0.6,3,7.4,Geo Fencing | June 2023,166,09/07/23
72,476,64,0,353783484,0,0.666666667,48,6.611111111,GTA Search,4415,09/07/23
8,46,7,0,353783484,0,0.5,4,5.75,Laminate Flooring - GTA,740,09/07/23
58,529,49,0,353783484,0,0.517241379,30,9.120689655,(direct),5827,10/07/23
3,5,3,0,353783484,0,0,0,1.666666667,(not set),675,10/07/23
543,3565,475,0,353783484,0,0.670349908,364,6.565377532,(organic),41698,10/07/23
31,178,31,0,353783484,0,0.290322581,9,5.741935484,(referral),1484,10/07/23
5,63,5,0,353783484,0,0.6,3,12.6,DSA_Laminate Flooring,278,10/07/23
21,307,21,0,353783484,0,0.761904762,16,14.61904762,DSA_Search,2155,10/07/23
4,12,4,0,353783484,0,0,0,3,FBAd,0,10/07/23
4,70,4,0,353783484,0,0.5,2,17.5,Geo Fencing | June 2023,639,10/07/23
79,566,72,0,353783484,0,0.683544304,54,7.164556962,GTA Search,4112,10/07/23
8,64,8,0,353783484,0,0.875,7,8,Laminate Flooring - GTA,600,10/07/23
61,316,51,0,353783484,0,0.606557377,37,5.180327869,(direct),2455,11/07/23
495,3409,443,0,353783484,0,0.715151515,354,6.886868687,(organic),40938,11/07/23
24,99,23,0,353783484,0,0.166666667,4,4.125,(referral),359,11/07/23
6,36,5,0,353783484,0,1,6,6,DSA_Laminate Flooring,352,11/07/23
12,186,11,0,353783484,0,0.583333333,7,15.5,DSA_Search,1928,11/07/23
5,28,4,0,353783484,0,0.6,3,5.6,Geo Fencing | June 2023,217,11/07/23
65,681,59,0,353783484,0,0.723076923,47,10.47692308,GTA Search,6728,11/07/23
8,62,8,0,353783484,0,1,8,7.75,Laminate Flooring - GTA,731,11/07/23
53,379,49,0,353783484,0,0.433962264,23,7.150943396,(direct),4453,12/07/23
4,8,4,0,353783484,0,0,0,2,(not set),259,12/07/23
480,2850,436,0,353783484,0,0.602083333,289,5.9375,(organic),31617,12/07/23
21,115,19,0,353783484,0,0.428571429,9,5.476190476,(referral),588,12/07/23
20,173,17,0,353783484,0,0.75,15,8.65,DSA_Search,1868,12/07/23
3,9,3,0,353783484,0,0,0,3,FBAd,0,12/07/23
4,33,4,0,353783484,0,0.75,3,8.25,Geo Fencing | June 2023,250,12/07/23
68,615,64,0,353783484,0,0.808823529,55,9.044117647,GTA Search,6579,12/07/23
11,80,10,0,353783484,0,0.909090909,10,7.272727273,Laminate Flooring - GTA,1026,12/07/23
44,404,42,0,353783484,0,0.568181818,25,9.181818182,(direct),3047,13/07/23
4,9,3,0,353783484,0,0,0,2.25,(not set),0,13/07/23
471,2944,421,0,353783484,0,0.645435244,304,6.250530786,(organic),32314,13/07/23
33,126,33,0,353783484,0,0.242424242,8,3.818181818,(referral),366,13/07/23
5,54,5,0,353783484,0,0.8,4,10.8,DSA_Laminate Flooring,348,13/07/23
10,136,7,0,353783484,0,0.4,4,13.6,DSA_Search,874,13/07/23
2,9,1,0,353783484,0,0.5,1,4.5,Geo Fencing | June 2023,17,13/07/23
77,679,72,0,353783484,0,0.727272727,56,8.818181818,GTA Search,6106,13/07/23
9,72,9,0,353783484,0,0.666666667,6,8,Laminate Flooring - GTA,393,13/07/23
50,283,44,0,353783484,0,0.4,20,5.66,(direct),3432,14/07/23
2,7,2,0,353783484,0,0.5,1,3.5,(not set),7,14/07/23
450,2705,413,0,353783484,0,0.662222222,298,6.011111111,(organic),27301,14/07/23
44,172,43,0,353783484,0,0.25,11,3.909090909,(referral),734,14/07/23
3,9,3,0,353783484,0,0,0,3,DSA_Laminate Flooring,0,14/07/23
9,37,7,0,353783484,0,0.222222222,2,4.111111111,DSA_Search,236,14/07/23
1,3,1,0,353783484,0,0,0,3,FBAd,0,14/07/23
13,98,10,0,353783484,0,0.692307692,9,7.538461538,Geo Fencing | June 2023,1141,14/07/23
73,517,57,0,353783484,0,0.684931507,50,7.082191781,GTA Search,4639,14/07/23
3,14,3,0,353783484,0,1,3,4.666666667,Laminate Flooring - GTA,71,14/07/23
54,509,48,0,353783484,0,0.592592593,32,9.425925926,(direct),6131,15/07/23
