sessions,eventcount,totalusers,conversions,property_id,totalrevenue,sessionmedium,engagementrate,engagedsessions,eventspersession,userengagementduration,date
54,444,47,0,353783484,0,(none),0.537037037,29,8.222222222,3855,30/06/23
60,685,57,0,353783484,0,cpc,0.7,42,11.41666667,8506,30/06/23
301,1527,281,0,353783484,0,organic,0.677740864,204,5.073089701,19610,30/06/23
1,4,1,0,353783484,0,Pinpoint,1,1,4,12,30/06/23
19,80,17,0,353783484,0,referral,0.315789474,6,4.210526316,388,30/06/23
3,21,2,0,353783484,0,YouTubeVideo,0.666666667,2,7,97,30/06/23
28,172,25,0,353783484,0,(none),0.535714286,15,6.142857143,1895,01/07/23
1,1,1,0,353783484,0,(not set),0,0,1,309,01/07/23
79,710,71,0,353783484,0,cpc,0.708860759,56,8.987341772,8143,01/07/23
1,3,1,0,353783484,0,Display,0,0,3,0,01/07/23
341,1820,319,0,353783484,0,organic,0.642228739,219,5.337243402,22682,01/07/23
1,3,1,0,353783484,0,Pinpoint,0,0,3,0,01/07/23
24,75,24,0,353783484,0,referral,0.125,3,3.125,124,01/07/23
2,28,2,0,353783484,0,YouTubeVideo,0.5,1,14,81,01/07/23
44,314,41,0,353783484,0,(none),0.590909091,26,7.136363636,2746,02/07/23
1,5,1,0,353783484,0,(not set),0,0,5,62,02/07/23
82,752,77,0,353783484,0,cpc,0.792682927,65,9.170731707,6030,02/07/23
356,1839,330,0,353783484,0,organic,0.668539326,238,5.165730337,21982,02/07/23
26,104,26,0,353783484,0,referral,0.115384615,3,4,197,02/07/23
1,44,1,0,353783484,0,YouTubeVideo,1,1,44,2063,02/07/23
51,387,44,0,353783484,0,(none),0.529411765,27,7.588235294,2990,03/07/23
116,977,105,0,353783484,0,cpc,0.655172414,76,8.422413793,8789,03/07/23
433,2289,395,0,353783484,0,organic,0.672055427,291,5.286374134,25876,03/07/23
4,12,4,0,353783484,0,Pinpoint,0,0,3,0,03/07/23
30,152,29,0,353783484,0,referral,0.133333333,4,5.066666667,845,03/07/23
17,236,17,0,353783484,0,YouTubeVideo,0.823529412,14,13.88235294,2986,03/07/23
60,534,54,0,353783484,0,(none),0.6,36,8.9,6308,04/07/23
2,19,2,0,353783484,0,(not set),0,0,9.5,243,04/07/23
111,915,101,0,353783484,0,cpc,0.63963964,71,8.243243243,6174,04/07/23
481,3256,429,0,353783484,0,organic,0.656964657,316,6.769230769,46428,04/07/23
9,27,9,0,353783484,0,Pinpoint,0,0,3,0,04/07/23
20,76,20,0,353783484,0,referral,0.1,2,3.8,137,04/07/23
26,201,17,0,353783484,0,YouTubeVideo,0.423076923,11,7.730769231,2609,04/07/23
64,357,55,0,353783484,0,(none),0.515625,33,5.578125,3114,05/07/23
4,36,4,0,353783484,0,(not set),0,0,9,345,05/07/23
98,948,90,0,353783484,0,cpc,0.744897959,73,9.673469388,9233,05/07/23
481,2683,433,0,353783484,0,organic,0.654885655,315,5.577962578,29424,05/07/23
1,3,1,0,353783484,0,Pinpoint,0,0,3,0,05/07/23
28,93,27,0,353783484,0,referral,0.178571429,5,3.321428571,273,05/07/23
3,27,1,0,353783484,0,YouTubeVideo,0.666666667,2,9,123,05/07/23
86,579,67,0,353783484,0,(none),0.488372093,42,6.73255814,5160,06/07/23
2,7,2,0,353783484,0,(not set),0,0,3.5,36,06/07/23
99,705,87,0,353783484,0,cpc,0.646464646,64,7.121212121,5880,06/07/23
457,2977,411,0,353783484,0,organic,0.647702407,296,6.514223195,35108,06/07/23
6,18,6,0,353783484,0,Pinpoint,0,0,3,0,06/07/23
31,116,28,0,353783484,0,referral,0.225806452,7,3.741935484,1955,06/07/23
1,3,1,0,353783484,0,YouTubeVideo,0,0,3,0,06/07/23
66,332,61,0,353783484,0,(none),0.46969697,31,5.03030303,2628,07/07/23
1,56,1,0,353783484,0,(not set),0,0,56,423,07/07/23
82,729,77,0,353783484,0,cpc,0.719512195,59,8.890243902,6124,07/07/23
398,2596,370,0,353783484,0,organic,0.635678392,253,6.522613065,32128,07/07/23
3,9,3,0,353783484,0,Pinpoint,0,0,3,0,07/07/23
28,106,27,0,353783484,0,referral,0.178571429,5,3.785714286,332,07/07/23
2,8,2,0,353783484,0,YouTubeVideo,0.5,1,4,22,07/07/23
37,307,35,0,353783484,0,(none),0.621621622,23,8.297297297,2862,08/07/23
93,770,84,0,353783484,0,cpc,0.623655914,58,8.279569892,7461,08/07/23
380,2005,356,0,353783484,0,organic,0.697368421,265,5.276315789,26045,08/07/23
1,3,1,0,353783484,0,Pinpoint,0,0,3,0,08/07/23
24,96,24,0,353783484,0,referral,0.166666667,4,4,276,08/07/23
39,356,35,0,353783484,0,(none),0.615384615,24,9.128205128,3331,09/07/23
2,3,2,0,353783484,0,(not set),0,0,1.5,29,09/07/23
99,739,87,0,353783484,0,cpc,0.666666667,66,7.464646465,6730,09/07/23
388,2312,364,0,353783484,0,organic,0.68556701,266,5.958762887,26511,09/07/23
26,129,24,0,353783484,0,referral,0.230769231,6,4.961538462,1179,09/07/23
58,529,49,0,353783484,0,(none),0.517241379,30,9.120689655,5827,10/07/23
3,5,3,0,353783484,0,(not set),0,0,1.666666667,675,10/07/23
117,1070,110,0,353783484,0,cpc,0.700854701,82,9.145299145,7784,10/07/23
543,3565,475,0,353783484,0,organic,0.670349908,364,6.565377532,41698,10/07/23
4,12,4,0,353783484,0,Pinpoint,0,0,3,0,10/07/23
31,178,31,0,353783484,0,referral,0.290322581,9,5.741935484,1484,10/07/23
61,316,51,0,353783484,0,(none),0.606557377,37,5.180327869,2455,11/07/23
96,993,87,0,353783484,0,cpc,0.739583333,71,10.34375,9956,11/07/23
495,3409,443,0,353783484,0,organic,0.715151515,354,6.886868687,40938,11/07/23
24,99,23,0,353783484,0,referral,0.166666667,4,4.125,359,11/07/23
53,379,49,0,353783484,0,(none),0.433962264,23,7.150943396,4453,12/07/23
3,5,3,0,353783484,0,(not set),0,0,1.666666667,259,12/07/23
104,904,95,0,353783484,0,cpc,0.798076923,83,8.692307692,9723,12/07/23
480,2850,436,0,353783484,0,organic,0.602083333,289,5.9375,31617,12/07/23
3,9,3,0,353783484,0,Pinpoint,0,0,3,0,12/07/23
21,115,19,0,353783484,0,referral,0.428571429,9,5.476190476,588,12/07/23
44,404,42,0,353783484,0,(none),0.568181818,25,9.181818182,3047,13/07/23
1,1,1,0,353783484,0,(not set),0,0,1,0,13/07/23
106,958,95,0,353783484,0,cpc,0.669811321,71,9.037735849,7738,13/07/23
471,2944,421,0,353783484,0,organic,0.645435244,304,6.250530786,32314,13/07/23
33,126,33,0,353783484,0,referral,0.242424242,8,3.818181818,366,13/07/23
50,283,44,0,353783484,0,(none),0.4,20,5.66,3432,14/07/23
1,1,1,0,353783484,0,(not set),0,0,1,2,14/07/23
102,681,79,0,353783484,0,cpc,0.637254902,65,6.676470588,6092,14/07/23
450,2705,413,0,353783484,0,organic,0.662222222,298,6.011111111,27301,14/07/23
1,3,1,0,353783484,0,Pinpoint,0,0,3,0,14/07/23
44,172,43,0,353783484,0,referral,0.25,11,3.909090909,734,14/07/23
54,509,48,0,353783484,0,(none),0.592592593,32,9.425925926,6131,15/07/23
1,2,1,0,353783484,0,(not set),0,0,2,42,15/07/23
109,1022,104,0,353783484,0,cpc,0.688073394,75,9.376146789,11491,15/07/23
421,2594,384,0,353783484,0,organic,0.679334917,286,6.16152019,31077,15/07/23
4,12,4,0,353783484,0,Pinpoint,0,0,3,0,15/07/23
26,87,26,0,353783484,0,referral,0.153846154,4,3.346153846,208,15/07/23
44,344,39,0,353783484,0,(none),0.590909091,26,7.818181818,2946,16/07/23
1,6,1,0,353783484,0,(not set),0,0,6,30,16/07/23
112,1162,94,0,353783484,0,cpc,0.758928571,85,10.375,13519,16/07/23
379,2172,352,0,353783484,0,organic,0.704485488,267,5.730870712,26864,16/07/23
2,6,2,0,353783484,0,Pinpoint,0,0,3,0,16/07/23
23,75,23,0,353783484,0,referral,0.043478261,1,3.260869565,19,16/07/23
81,635,70,0,353783484,0,(none),0.456790123,37,7.839506173,6048,17/07/23
2,5,2,0,353783484,0,(not set),0,0,2.5,73,17/07/23
116,940,104,0,353783484,0,cpc,0.724137931,84,8.103448276,9027,17/07/23
532,3633,474,0,353783484,0,organic,0.657894737,350,6.828947368,37258,17/07/23
5,15,5,0,353783484,0,Pinpoint,0,0,3,0,17/07/23
23,83,22,0,353783484,0,referral,0.217391304,5,3.608695652,237,17/07/23
59,494,52,0,353783484,0,(none),0.542372881,32,8.372881356,3039,18/07/23
1,14,1,0,353783484,0,(not set),0,0,14,93,18/07/23
106,1061,90,0,353783484,0,cpc,0.745283019,79,10.00943396,11339,18/07/23
440,2960,409,0,353783484,0,organic,0.686363636,302,6.727272727,31305,18/07/23
2,6,2,0,353783484,0,Pinpoint,0,0,3,0,18/07/23
35,123,34,0,353783484,0,referral,0.114285714,4,3.514285714,83,18/07/23
52,265,47,0,353783484,0,(none),0.5,26,5.096153846,1699,19/07/23
1,1,1,0,353783484,0,(not set),0,0,1,143,19/07/23
92,723,85,0,353783484,0,cpc,0.673913043,62,7.858695652,5597,19/07/23
489,3194,423,0,353783484,0,organic,0.650306748,318,6.531697342,32396,19/07/23
6,18,6,0,353783484,0,Pinpoint,0,0,3,0,19/07/23
26,82,25,0,353783484,0,referral,0.230769231,6,3.153846154,360,19/07/23
73,621,60,0,353783484,0,(none),0.493150685,36,8.506849315,4418,20/07/23
1,2,1,0,353783484,0,(not set),0,0,2,52,20/07/23
92,835,80,0,353783484,0,cpc,0.72826087,67,9.076086957,6612,20/07/23
