"date","property_id","active7dayusers","_airbyte_raw_id","_airbyte_extracted_at","_airbyte_meta","formatted_date"
"20230630","353783484",402,abd8c473-497c-4654-a962-8f12c5d0e64a,"2024-07-26 10:46:41.858000","{""changes"": []}","2023-06-30"
"20230701","353783484",824,"42583495-7f8a-473c-81bc-1f8b3283ac7c","2024-07-26 10:46:42.287000","{""changes"": []}","2023-07-01"
"20230702","353783484",1281,"8b900e52-6dba-4160-ba21-db8561013fea","2024-07-26 10:46:42.685000","{""changes"": []}","2023-07-02"
"20230703","353783484",1850,a3141dee-7afc-4161-b698-792779bdc527,"2024-07-26 10:46:43.078000","{""changes"": []}","2023-07-03"
"20230704","353783484",2440,f2c0f9f6-858e-46c8-aaab-0bc61e3873f5,"2024-07-26 10:46:43.579000","{""changes"": []}","2023-07-04"
"20230705","353783484",3009,ec57c56b-061e-4326-9f37-33194a41d892,"2024-07-26 10:46:43.995000","{""changes"": []}","2023-07-05"
"20230706","353783484",3552,"03830862-6904-4773-b4bb-89ebe671e74a","2024-07-26 10:46:44.450000","{""changes"": []}","2023-07-06"
"20230707","353783484",3653,"71f4e372-fc03-4df9-965d-b86c5dcc95b1","2024-07-26 10:46:44.890000","{""changes"": []}","2023-07-07"
"20230708","353783484",3704,"064553d4-8e05-4e5f-97f6-5da2b9a9815d","2024-07-26 10:46:45.411000","{""changes"": []}","2023-07-08"
"20230709","353783484",3713,"6dd4da53-112f-4345-99d5-39b98df86c18","2024-07-26 10:46:45.814000","{""changes"": []}","2023-07-09"
"20230710","353783484",3762,"1e79e12c-17e8-44ec-98c7-a3796d16752f","2024-07-26 10:46:46.340000","{""changes"": []}","2023-07-10"
"20230711","353783484",3727,fd8651d0-1dbf-4c52-a47d-c90adf5555a0,"2024-07-26 10:46:46.773000","{""changes"": []}","2023-07-11"
"20230712","353783484",3715,af95c5d6-b0ea-44c0-a931-c7894a1ea980,"2024-07-26 10:46:47.175000","{""changes"": []}","2023-07-12"
"20230713","353783484",3701,f26f5069-c0d3-4721-8bc4-24514a9dc8d9,"2024-07-26 10:46:47.579000","{""changes"": []}","2023-07-13"
"20230714","353783484",3735,"6adf6f78-b1fb-4171-a63c-1b56a872f40a","2024-07-26 10:46:48.004000","{""changes"": []}","2023-07-14"
"20230715","353783484",3788,"1eae650c-204a-4347-b8d6-b35e2862225b","2024-07-26 10:46:48.469000","{""changes"": []}","2023-07-15"
"20230716","353783484",3797,f4fb2f28-11a5-43be-a4d1-63ced7cb3c96,"2024-07-26 10:46:48.885000","{""changes"": []}","2023-07-16"
"20230717","353783484",3789,"1abbce2b-3601-404f-b32f-5cf16d06f1ee","2024-07-26 10:46:49.399000","{""changes"": []}","2023-07-17"
"20230718","353783484",3774,e497f450-b8a5-4910-aece-ae28e8eb4ff9,"2024-07-26 10:46:49.812000","{""changes"": []}","2023-07-18"
"20230719","353783484",3737,d0806e08-342a-4203-9ae6-50647aeeabc9,"2024-07-26 10:46:50.295000","{""changes"": []}","2023-07-19"
"20230720","353783484",3683,"188400c5-182f-4f55-a063-acd389d0867d","2024-07-26 10:46:50.721000","{""changes"": []}","2023-07-20"
"20230721","353783484",3629,"35d1a315-986e-49e4-8a93-898da38d085e","2024-07-26 10:46:51.205000","{""changes"": []}","2023-07-21"
"20230722","353783484",3560,"4219805e-0139-4618-8736-599c1c0cee40","2024-07-26 10:46:51.636000","{""changes"": []}","2023-07-22"
"20230723","353783484",3557,a47a4a58-5e93-4f66-80fb-4f9ba6c60ac0,"2024-07-26 10:46:52.044000","{""changes"": []}","2023-07-23"
"20230724","353783484",3486,"07d0dc9c-6953-41c6-a21f-b2e810e486bb","2024-07-26 10:46:52.567000","{""changes"": []}","2023-07-24"
"20230725","353783484",3474,"57450fd7-8118-4681-a449-4b6e355c36f0","2024-07-26 10:46:52.992000","{""changes"": []}","2023-07-25"
"20230726","353783484",3466,ee1a5ccc-10b2-47a5-b320-801df990f8cd,"2024-07-26 10:46:53.412000","{""changes"": []}","2023-07-26"
"20230727","353783484",3474,"29acd302-e9b5-45a2-91ba-875fbea35aff","2024-07-26 10:46:53.880000","{""changes"": []}","2023-07-27"
"20230728","353783484",3448,"327de001-7abe-498e-89cf-6c2969c172d4","2024-07-26 10:46:54.295000","{""changes"": []}","2023-07-28"
"20230729","353783484",3522,b5514f6e-0314-4643-a9e1-0961691c101e,"2024-07-26 10:46:54.785000","{""changes"": []}","2023-07-29"
"20230730","353783484",3499,"288e385e-7982-49d1-b5b8-cca41f75a791","2024-07-26 10:46:55.376000","{""changes"": []}","2023-07-30"
"20230731","353783484",3526,c349200d-7f38-495f-a2a7-a181bcab4072,"2024-07-26 10:46:55.880000","{""changes"": []}","2023-07-31"
"20230801","353783484",3544,bfa2cacc-50cd-4f6f-9c4c-1ce7df1830d0,"2024-07-26 10:46:56.482000","{""changes"": []}","2023-08-01"
"20230802","353783484",3546,c239c3e3-5040-491d-ab00-2c884f20dff0,"2024-07-26 10:46:56.988000","{""changes"": []}","2023-08-02"
"20230803","353783484",3536,"706f08e5-6d6f-4d10-88e9-2ced282baa05","2024-07-26 10:46:57.477000","{""changes"": []}","2023-08-03"
"20230804","353783484",3587,ac2e2440-7d8f-405b-94f6-4ce6be04fd83,"2024-07-26 10:46:57.882000","{""changes"": []}","2023-08-04"
"20230805","353783484",3514,ab80b903-9dfc-4034-9104-002fc7547bc3,"2024-07-26 10:46:58.335000","{""changes"": []}","2023-08-05"
"20230806","353783484",3458,"4a618cc9-954a-49d1-860b-b4ba8140e925","2024-07-26 10:46:58.828000","{""changes"": []}","2023-08-06"
"20230807","353783484",3377,"0c344bad-fcd1-4d5d-972c-e96cad22f508","2024-07-26 10:46:59.313000","{""changes"": []}","2023-08-07"
"20230808","353783484",3344,d6c59b04-dbcc-4647-a0a6-1e2df14c3c67,"2024-07-26 10:46:59.765000","{""changes"": []}","2023-08-08"
"20230809","353783484",3293,"16162784-883c-4680-a93a-d48960ec39fe","2024-07-26 10:47:00.217000","{""changes"": []}","2023-08-09"
"20230810","353783484",3288,"31a867db-3552-42e6-a8ee-1703f972bd28","2024-07-26 10:47:00.767000","{""changes"": []}","2023-08-10"
"20230811","353783484",3236,"5debd4d7-36bc-4edc-ab8e-b73a8feacfd0","2024-07-26 10:47:01.189000","{""changes"": []}","2023-08-11"
"20230812","353783484",3231,f5cfceb4-2c47-4b72-b674-085ebaffcc33,"2024-07-26 10:47:01.673000","{""changes"": []}","2023-08-12"
"20230813","353783484",3276,"896df8cc-9325-4019-a4f3-970c6db2e954","2024-07-26 10:47:02.080000","{""changes"": []}","2023-08-13"
"20230814","353783484",3314,b4633d10-b99a-4e68-8673-2c61196b91b8,"2024-07-26 10:47:02.487000","{""changes"": []}","2023-08-14"
"20230815","353783484",3343,"3b8f2f0a-0683-4114-bf30-fcc348cb5c32","2024-07-26 10:47:02.929000","{""changes"": []}","2023-08-15"
"20230816","353783484",3324,"383870a1-3baa-4d56-a539-63a40bae2f21","2024-07-26 10:47:03.398000","{""changes"": []}","2023-08-16"
"20230817","353783484",3263,"9bc296be-7801-4517-b586-0665c25cea18","2024-07-26 10:47:03.855000","{""changes"": []}","2023-08-17"
"20230818","353783484",3308,"4429ba6f-a4de-46ae-85a8-b09a6655c7f1","2024-07-26 10:47:04.267000","{""changes"": []}","2023-08-18"
"20230819","353783484",3303,effdb3ed-897f-455f-8f0d-ff0f57952c35,"2024-07-26 10:47:04.722000","{""changes"": []}","2023-08-19"
"20230820","353783484",3289,be2bfa10-d1a0-4e4a-9421-9ca08f49223d,"2024-07-26 10:47:05.121000","{""changes"": []}","2023-08-20"
"20230821","353783484",3254,beee181f-0bc2-47d6-885a-6a68d3390cf3,"2024-07-26 10:47:05.517000","{""changes"": []}","2023-08-21"
"20230822","353783484",3174,ca6c6d94-9705-47f2-8622-9d7cd4aaaa1f,"2024-07-26 10:47:05.980000","{""changes"": []}","2023-08-22"
"20230823","353783484",3176,d9090c3c-d907-44db-b12e-cb67e08fb9c9,"2024-07-26 10:47:06.375000","{""changes"": []}","2023-08-23"
"20230824","353783484",3235,"6e7f5cec-1a61-4e2c-b663-c41dbd61abb9","2024-07-26 10:47:06.767000","{""changes"": []}","2023-08-24"
"20230825","353783484",3238,"521c4e72-024d-47cf-b4e4-5bbea3e3ef04","2024-07-26 10:47:07.217000","{""changes"": []}","2023-08-25"
"20230826","353783484",3293,a88caa30-0598-4bfe-8293-3b2355ec891b,"2024-07-26 10:47:07.686000","{""changes"": []}","2023-08-26"
"20230827","353783484",3317,c7360527-d16a-4527-a325-dc67d053a96d,"2024-07-26 10:47:08.106000","{""changes"": []}","2023-08-27"
"20230828","353783484",3407,"91135886-17bf-41a3-a195-c53b172701d8","2024-07-26 10:47:08.532000","{""changes"": []}","2023-08-28"
"20230829","353783484",3438,b1896067-e26a-4318-adfe-b4a421bdcaea,"2024-07-26 10:47:08.968000","{""changes"": []}","2023-08-29"
"20230830","353783484",3459,ccbaab46-160e-4d71-88fa-85741d94880e,"2024-07-26 10:47:09.408000","{""changes"": []}","2023-08-30"
"20230831","353783484",3454,"3bbbe913-0b76-4c2f-a17a-6230ed47cd30","2024-07-26 10:47:09.915000","{""changes"": []}","2023-08-31"
"20230901","353783484",3385,c7db6315-65fe-474d-9002-0fbca27598e3,"2024-07-26 10:47:10.443000","{""changes"": []}","2023-09-01"
"20230902","353783484",3342,"1632581b-0c2d-425c-a981-cff18807bcf0","2024-07-26 10:47:10.891000","{""changes"": []}","2023-09-02"
"20230903","353783484",3298,"9a2c6d63-e3f7-4f0a-8aa7-d82bb0718777","2024-07-26 10:47:11.311000","{""changes"": []}","2023-09-03"
"20230904","353783484",3222,e8735b5c-e5d0-4cac-8bad-5caf75646aba,"2024-07-26 10:47:11.735000","{""changes"": []}","2023-09-04"
"20230905","353783484",3290,"23c63f51-2f3c-4ff8-b5de-b0079f570382","2024-07-26 10:47:12.205000","{""changes"": []}","2023-09-05"
"20230906","353783484",3327,"5cda0182-7dd6-44c6-a5df-4558665d9376","2024-07-26 10:47:12.670000","{""changes"": []}","2023-09-06"
"20230907","353783484",3395,ed7e76e4-1232-445e-a5e4-947b8bd355b9,"2024-07-26 10:47:13.151000","{""changes"": []}","2023-09-07"
"20230908","353783484",3405,"710cdf96-7782-4dc2-aae3-6fca6d434109","2024-07-26 10:47:13.622000","{""changes"": []}","2023-09-08"
"20230909","353783484",3492,"01200a95-20c2-462e-a7fa-e05451678c87","2024-07-26 10:47:14.076000","{""changes"": []}","2023-09-09"
"20230910","353783484",3571,"8a0ab84f-0901-44b0-849e-c89f5f7871a0","2024-07-26 10:47:14.480000","{""changes"": []}","2023-09-10"
"20230911","353783484",3622,f5c6c88c-f2a9-4a34-882d-0943d23a1b0d,"2024-07-26 10:47:14.889000","{""changes"": []}","2023-09-11"
"20230912","353783484",3603,"95979be6-522a-456b-933d-6f164b16f6e7","2024-07-26 10:47:15.324000","{""changes"": []}","2023-09-12"
"20230913","353783484",3589,"3ef0b001-ab51-4c20-84b0-bfb25e2fa4c0","2024-07-26 10:47:15.838000","{""changes"": []}","2023-09-13"
"20230914","353783484",3552,"46bd6a68-1bf1-4ab0-ac33-ff16fc93b8ea","2024-07-26 10:47:16.336000","{""changes"": []}","2023-09-14"
"20230915","353783484",3556,ee0efdf3-b137-4bb4-8bea-d5a4075b5a1f,"2024-07-26 10:47:16.818000","{""changes"": []}","2023-09-15"
"20230916","353783484",3478,a27d3658-7122-48a2-ae40-a755661b8465,"2024-07-26 10:47:17.342000","{""changes"": []}","2023-09-16"
"20230917","353783484",3467,"11a59a7e-0c7c-4c48-8782-56678b8abea4","2024-07-26 10:47:17.752000","{""changes"": []}","2023-09-17"
"20230918","353783484",3464,fc777a70-4a33-4aa5-9259-b3d55746e03e,"2024-07-26 10:47:18.179000","{""changes"": []}","2023-09-18"
"20230919","353783484",3480,"4d4b9448-7b90-437c-9cc7-7db44a767f12","2024-07-26 10:47:18.611000","{""changes"": []}","2023-09-19"
